0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11.0,3.0,9.0,7.0,5.0,1.0,4.0,7.0,10.0,5.0,2.0,10.0,10.0,6.0,4.0,11.0,11.0,3.0,5.0,7.0,17.0,7.0,13.0,12.0,25.0,13.0,12.0,19.0,28.0,30.0,35.0,23.0
3.0,1.0,12.0,1.0,2.0,3.0,2.0,3.0,7.0,2.0,3.0,1.0,11.0,5.0,3.0,5.0,10.0,6.0,6.0,5.0,12.0,8.0,7.0,10.0,18.0,14.0,17.0,20.0,21.0,42.0,28.0,25.0
6.0,8.0,3.0,2.0,12.0,11.0,10.0,4.0,6.0,7.0,14.0,2.0,6.0,9.0,9.0,4.0,9.0,10.0,11.0,5.0,12.0,9.0,14.0,4.0,16.0,17.0,14.0,9.0,38.0,47.0,35.0,20.0
3.0,1.0,3.0,9.0,4.0,3.0,1.0,14.0,10.0,6.0,3.0,5.0,7.0,4.0,4.0,10.0,11.0,7.0,12.0,11.0,19.0,14.0,12.0,6.0,15.0,14.0,12.0,11.0,35.0,39.0,27.0,22.0
3.0,6.0,3.0,6.0,7.0,9.0,2.0,8.0,15.0,10.0,11.0,5.0,12.0,3.0,5.0,8.0,9.0,7.0,14.0,10.0,11.0,7.0,5.0,8.0,13.0,16.0,13.0,16.0,34.0,32.0,34.0,28.0
4.0,11.0,6.0,6.0,1.0,5.0,7.0,2.0,4.0,9.0,3.0,7.0,5.0,12.0,5.0,6.0,6.0,9.0,6.0,12.0,15.0,12.0,12.0,12.0,17.0,12.0,12.0,15.0,30.0,34.0,34.0,28.0
2.0,3.0,6.0,3.0,2.0,6.0,5.0,7.0,2.0,5.0,7.0,8.0,4.0,8.0,10.0,4.0,5.0,9.0,11.0,9.0,6.0,8.0,14.0,10.0,10.0,15.0,23.0,9.0,27.0,46.0,36.0,22.0
7.0,3.0,1.0,5.0,7.0,7.0,4.0,8.0,5.0,8.0,5.0,8.0,9.0,5.0,3.0,5.0,11.0,9.0,6.0,7.0,10.0,20.0,7.0,9.0,17.0,25.0,10.0,10.0,33.0,53.0,30.0,18.0
5.0,2.0,5.0,3.0,5.0,2.0,6.0,3.0,6.0,9.0,3.0,8.0,8.0,11.0,5.0,2.0,11.0,13.0,3.0,8.0,9.0,9.0,7.0,10.0,13.0,18.0,13.0,13.0,31.0,37.0,23.0,22.0
11.0,4.0,5.0,5.0,13.0,7.0,8.0,7.0,7.0,8.0,9.0,6.0,8.0,10.0,4.0,3.0,9.0,7.0,5.0,6.0,9.0,14.0,8.0,7.0,12.0,9.0,16.0,13.0,33.0,36.0,41.0,25.0
4.0,3.0,5.0,1.0,5.0,7.0,3.0,9.0,8.0,12.0,3.0,2.0,2.0,7.0,9.0,2.0,13.0,11.0,5.0,7.0,16.0,11.0,7.0,12.0,10.0,22.0,15.0,11.0,21.0,36.0,28.0,23.0
5.0,8.0,5.0,1.0,8.0,2.0,5.0,5.0,9.0,10.0,9.0,6.0,7.0,4.0,12.0,10.0,15.0,6.0,15.0,7.0,22.0,4.0,19.0,10.0,15.0,13.0,17.0,14.0,31.0,41.0,30.0,31.0
6.0,7.0,4.0,4.0,3.0,7.0,6.0,3.0,9.0,7.0,9.0,6.0,16.0,9.0,17.0,8.0,9.0,9.0,9.0,5.0,11.0,8.0,17.0,6.0,13.0,15.0,22.0,11.0,34.0,48.0,31.0,15.0
