,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,10.0,9.0,78.0,8.0,13.0,21.0,530.0,6.0,17.0,35.0,972.0,5.0,16.0,32.0,129.0,3.0,28.0,31.0,81.0,14.0,31.0,31.0,59.0,16.0,19.0,30.0,47.0,18.0,18.0,33.0,34.0,20.0
1,10.0,10.0,91.0,8.0,11.0,16.0,507.0,7.0,16.0,35.0,952.0,3.0,23.0,35.0,119.0,3.0,22.0,31.0,87.0,8.0,27.0,31.0,57.0,14.0,14.0,32.0,44.0,18.0,17.0,36.0,34.0,19.0
2,12.0,5.0,93.0,11.0,13.0,15.0,498.0,12.0,17.0,37.0,919.0,3.0,15.0,34.0,127.0,3.0,23.0,29.0,89.0,7.0,22.0,35.0,62.0,14.0,19.0,35.0,41.0,16.0,21.0,35.0,44.0,26.0
3,16.0,5.0,91.0,8.0,13.0,13.0,488.0,5.0,18.0,33.0,894.0,2.0,14.0,31.0,119.0,3.0,23.0,28.0,94.0,10.0,24.0,41.0,56.0,19.0,17.0,31.0,42.0,18.0,17.0,33.0,36.0,17.0
4,13.0,6.0,89.0,6.0,13.0,12.0,456.0,6.0,17.0,34.0,867.0,1.0,16.0,31.0,128.0,1.0,24.0,31.0,87.0,10.0,25.0,30.0,52.0,16.0,14.0,33.0,46.0,21.0,24.0,29.0,39.0,18.0
5,14.0,6.0,98.0,5.0,13.0,12.0,461.0,8.0,20.0,31.0,852.0,7.0,16.0,34.0,138.0,1.0,22.0,31.0,91.0,9.0,24.0,34.0,59.0,13.0,14.0,30.0,38.0,18.0,25.0,26.0,37.0,22.0
6,13.0,4.0,101.0,5.0,17.0,14.0,441.0,5.0,18.0,36.0,820.0,2.0,15.0,38.0,133.0,1.0,21.0,32.0,80.0,9.0,23.0,41.0,53.0,15.0,18.0,28.0,50.0,22.0,21.0,26.0,38.0,17.0
7,13.0,6.0,92.0,8.0,13.0,10.0,414.0,6.0,17.0,31.0,799.0,1.0,16.0,36.0,131.0,5.0,23.0,29.0,87.0,11.0,25.0,38.0,57.0,19.0,15.0,33.0,38.0,16.0,25.0,27.0,30.0,19.0
8,15.0,5.0,96.0,6.0,12.0,13.0,406.0,5.0,15.0,35.0,754.0,3.0,18.0,34.0,124.0,9.0,24.0,32.0,83.0,8.0,28.0,35.0,58.0,13.0,16.0,32.0,41.0,17.0,18.0,35.0,31.0,18.0
9,13.0,4.0,99.0,7.0,12.0,11.0,399.0,7.0,22.0,29.0,743.0,1.0,19.0,36.0,129.0,2.0,19.0,34.0,85.0,12.0,24.0,37.0,53.0,16.0,16.0,33.0,44.0,23.0,17.0,33.0,39.0,16.0
10,13.0,4.0,92.0,5.0,11.0,11.0,387.0,5.0,17.0,33.0,714.0,7.0,14.0,32.0,127.0,2.0,21.0,33.0,94.0,8.0,27.0,35.0,53.0,15.0,18.0,27.0,43.0,20.0,19.0,30.0,34.0,17.0
11,10.0,4.0,95.0,6.0,14.0,14.0,381.0,5.0,19.0,33.0,692.0,1.0,15.0,34.0,126.0,5.0,20.0,28.0,87.0,10.0,24.0,33.0,61.0,20.0,15.0,30.0,46.0,21.0,25.0,40.0,41.0,22.0
