,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,14.0,5.0,53.0,10.0,16.0,12.0,198.0,6.0,15.0,27.0,1122.0,7.0,20.0,34.0,132.0,4.0,25.0,37.0,90.0,7.0,23.0,34.0,63.0,24.0,21.0,33.0,49.0,20.0,21.0,36.0,34.0,15.0
1,15.0,8.0,65.0,10.0,17.0,9.0,194.0,6.0,18.0,27.0,1109.0,4.0,21.0,27.0,127.0,5.0,28.0,38.0,91.0,8.0,23.0,38.0,54.0,20.0,22.0,33.0,55.0,22.0,24.0,33.0,37.0,15.0
2,12.0,4.0,59.0,10.0,16.0,14.0,188.0,6.0,19.0,26.0,1100.0,2.0,21.0,31.0,127.0,5.0,27.0,37.0,91.0,12.0,24.0,35.0,59.0,23.0,16.0,27.0,52.0,21.0,21.0,38.0,37.0,15.0
3,10.0,4.0,61.0,10.0,18.0,12.0,189.0,7.0,17.0,29.0,1078.0,8.0,21.0,32.0,126.0,5.0,27.0,34.0,90.0,11.0,21.0,36.0,57.0,22.0,21.0,27.0,51.0,20.0,24.0,39.0,36.0,21.0
4,12.0,2.0,62.0,8.0,15.0,12.0,179.0,4.0,16.0,27.0,1088.0,3.0,17.0,29.0,133.0,4.0,27.0,41.0,90.0,9.0,22.0,36.0,59.0,18.0,19.0,30.0,50.0,18.0,20.0,35.0,34.0,19.0
5,14.0,8.0,62.0,7.0,11.0,12.0,167.0,8.0,16.0,23.0,1077.0,5.0,21.0,30.0,126.0,3.0,25.0,37.0,87.0,11.0,23.0,34.0,61.0,20.0,22.0,31.0,49.0,17.0,21.0,35.0,37.0,19.0
6,13.0,4.0,64.0,8.0,16.0,9.0,169.0,5.0,17.0,26.0,1045.0,6.0,23.0,29.0,131.0,4.0,26.0,37.0,88.0,12.0,25.0,34.0,60.0,20.0,20.0,36.0,49.0,19.0,22.0,36.0,33.0,16.0
7,13.0,8.0,63.0,8.0,15.0,11.0,165.0,7.0,18.0,25.0,1034.0,8.0,17.0,31.0,126.0,3.0,24.0,36.0,86.0,9.0,28.0,31.0,65.0,21.0,18.0,36.0,48.0,18.0,20.0,35.0,31.0,22.0
8,16.0,6.0,62.0,8.0,14.0,12.0,157.0,9.0,15.0,23.0,1026.0,5.0,22.0,32.0,125.0,4.0,24.0,37.0,86.0,13.0,24.0,35.0,61.0,20.0,18.0,33.0,50.0,19.0,21.0,36.0,34.0,19.0
9,17.0,6.0,63.0,8.0,14.0,16.0,160.0,6.0,15.0,23.0,995.0,4.0,19.0,26.0,126.0,4.0,28.0,36.0,93.0,8.0,26.0,39.0,54.0,17.0,19.0,31.0,48.0,23.0,25.0,33.0,40.0,19.0
10,11.0,5.0,55.0,7.0,12.0,5.0,163.0,9.0,21.0,28.0,975.0,1.0,17.0,36.0,113.0,8.0,22.0,28.0,98.0,12.0,30.0,41.0,62.0,15.0,16.0,34.0,45.0,23.0,17.0,28.0,41.0,24.0
11,15.0,9.0,54.0,4.0,13.0,9.0,148.0,6.0,19.0,22.0,967.0,4.0,12.0,35.0,119.0,2.0,26.0,24.0,72.0,4.0,34.0,43.0,67.0,24.0,25.0,33.0,50.0,23.0,23.0,31.0,37.0,26.0
12,18.0,9.0,59.0,7.0,16.0,11.0,162.0,7.0,22.0,24.0,923.0,8.0,17.0,39.0,112.0,2.0,24.0,33.0,85.0,10.0,28.0,33.0,62.0,15.0,20.0,31.0,52.0,20.0,17.0,32.0,43.0,17.0
13,13.0,3.0,55.0,4.0,13.0,7.0,144.0,8.0,16.0,26.0,908.0,2.0,18.0,30.0,112.0,2.0,25.0,39.0,95.0,9.0,25.0,39.0,64.0,18.0,14.0,29.0,48.0,16.0,18.0,33.0,34.0,24.0
14,11.0,8.0,62.0,8.0,11.0,8.0,147.0,8.0,22.0,26.0,872.0,7.0,15.0,34.0,122.0,3.0,25.0,30.0,96.0,10.0,24.0,38.0,61.0,17.0,17.0,31.0,42.0,20.0,19.0,30.0,44.0,22.0
15,11.0,3.0,55.0,7.0,11.0,9.0,141.0,6.0,14.0,27.0,845.0,2.0,21.0,32.0,113.0,2.0,30.0,31.0,88.0,8.0,25.0,38.0,52.0,19.0,12.0,27.0,48.0,21.0,25.0,29.0,40.0,20.0
16,12.0,7.0,54.0,3.0,11.0,9.0,143.0,12.0,19.0,26.0,832.0,3.0,21.0,36.0,117.0,3.0,32.0,39.0,89.0,7.0,31.0,41.0,57.0,18.0,18.0,35.0,47.0,18.0,19.0,30.0,39.0,29.0
17,12.0,6.0,53.0,6.0,15.0,12.0,154.0,7.0,22.0,24.0,792.0,4.0,26.0,39.0,119.0,4.0,26.0,32.0,90.0,11.0,32.0,34.0,58.0,21.0,17.0,30.0,51.0,20.0,25.0,30.0,39.0,20.0
18,16.0,6.0,59.0,9.0,13.0,8.0,143.0,6.0,18.0,28.0,770.0,2.0,15.0,30.0,105.0,3.0,25.0,33.0,89.0,12.0,28.0,34.0,57.0,18.0,20.0,37.0,46.0,19.0,22.0,36.0,44.0,20.0
19,12.0,5.0,59.0,6.0,14.0,9.0,141.0,6.0,18.0,27.0,738.0,1.0,18.0,30.0,105.0,7.0,22.0,37.0,92.0,11.0,29.0,36.0,56.0,23.0,16.0,32.0,54.0,17.0,32.0,33.0,34.0,19.0
20,14.0,5.0,59.0,8.0,15.0,6.0,136.0,6.0,16.0,25.0,704.0,1.0,16.0,32.0,107.0,6.0,25.0,29.0,89.0,9.0,28.0,39.0,65.0,18.0,21.0,33.0,46.0,18.0,18.0,32.0,36.0,23.0
21,13.0,5.0,54.0,5.0,12.0,8.0,132.0,8.0,15.0,24.0,663.0,7.0,18.0,31.0,108.0,4.0,30.0,30.0,97.0,8.0,26.0,36.0,66.0,19.0,18.0,29.0,48.0,20.0,19.0,36.0,33.0,22.0
22,18.0,2.0,53.0,7.0,10.0,8.0,144.0,7.0,17.0,22.0,634.0,5.0,14.0,38.0,106.0,2.0,30.0,35.0,98.0,10.0,23.0,46.0,59.0,15.0,17.0,31.0,44.0,17.0,25.0,31.0,37.0,17.0
23,15.0,3.0,56.0,6.0,18.0,8.0,144.0,8.0,18.0,21.0,602.0,1.0,15.0,36.0,115.0,2.0,26.0,31.0,85.0,10.0,25.0,40.0,61.0,24.0,19.0,32.0,41.0,17.0,20.0,34.0,39.0,21.0
24,12.0,2.0,56.0,7.0,15.0,14.0,136.0,7.0,22.0,21.0,583.0,2.0,16.0,35.0,112.0,5.0,30.0,28.0,85.0,8.0,23.0,40.0,63.0,16.0,18.0,29.0,41.0,21.0,22.0,29.0,39.0,17.0
25,12.0,4.0,54.0,6.0,10.0,9.0,128.0,10.0,20.0,21.0,557.0,1.0,16.0,32.0,111.0,9.0,26.0,31.0,85.0,9.0,31.0,39.0,67.0,17.0,21.0,29.0,44.0,19.0,18.0,36.0,39.0,21.0
26,12.0,3.0,55.0,9.0,16.0,9.0,137.0,6.0,20.0,23.0,528.0,1.0,17.0,37.0,111.0,4.0,24.0,34.0,85.0,11.0,27.0,44.0,58.0,20.0,16.0,33.0,47.0,18.0,23.0,32.0,34.0,24.0
27,10.0,6.0,62.0,9.0,11.0,5.0,125.0,6.0,18.0,24.0,504.0,2.0,18.0,32.0,100.0,11.0,23.0,37.0,94.0,14.0,26.0,32.0,55.0,19.0,15.0,33.0,41.0,20.0,29.0,30.0,36.0,22.0
28,12.0,3.0,59.0,9.0,11.0,5.0,125.0,7.0,15.0,27.0,469.0,3.0,22.0,30.0,100.0,3.0,24.0,41.0,85.0,11.0,32.0,36.0,63.0,22.0,16.0,32.0,43.0,17.0,21.0,39.0,37.0,25.0
29,14.0,6.0,61.0,9.0,14.0,7.0,132.0,9.0,18.0,20.0,436.0,1.0,17.0,33.0,103.0,3.0,27.0,30.0,89.0,10.0,28.0,40.0,63.0,16.0,18.0,32.0,46.0,18.0,23.0,28.0,37.0,21.0
30,12.0,5.0,59.0,8.0,10.0,9.0,131.0,7.0,20.0,21.0,418.0,1.0,17.0,36.0,106.0,3.0,23.0,36.0,93.0,17.0,33.0,34.0,57.0,18.0,17.0,31.0,51.0,20.0,21.0,29.0,33.0,28.0
31,10.0,5.0,56.0,5.0,14.0,7.0,126.0,7.0,19.0,21.0,394.0,4.0,14.0,29.0,104.0,4.0,28.0,33.0,85.0,11.0,26.0,37.0,67.0,17.0,16.0,32.0,42.0,19.0,20.0,35.0,41.0,18.0
32,12.0,3.0,57.0,8.0,13.0,9.0,133.0,12.0,19.0,27.0,370.0,2.0,16.0,32.0,104.0,3.0,21.0,32.0,90.0,11.0,26.0,34.0,65.0,18.0,19.0,35.0,44.0,22.0,18.0,34.0,34.0,22.0
33,11.0,3.0,60.0,5.0,13.0,5.0,116.0,6.0,16.0,25.0,354.0,5.0,17.0,36.0,105.0,3.0,24.0,36.0,92.0,12.0,27.0,42.0,59.0,22.0,19.0,29.0,48.0,17.0,19.0,29.0,38.0,17.0
34,10.0,5.0,57.0,7.0,10.0,6.0,114.0,6.0,17.0,23.0,339.0,7.0,18.0,31.0,98.0,5.0,27.0,30.0,86.0,7.0,24.0,38.0,57.0,17.0,16.0,34.0,46.0,19.0,18.0,32.0,40.0,17.0
35,9.0,2.0,61.0,6.0,12.0,7.0,118.0,14.0,20.0,19.0,303.0,2.0,14.0,32.0,101.0,3.0,23.0,34.0,90.0,11.0,27.0,34.0,63.0,17.0,16.0,33.0,50.0,18.0,19.0,30.0,35.0,19.0
36,12.0,7.0,59.0,6.0,12.0,8.0,123.0,6.0,16.0,23.0,289.0,5.0,21.0,32.0,97.0,2.0,25.0,31.0,95.0,7.0,25.0,37.0,57.0,20.0,18.0,32.0,42.0,19.0,19.0,35.0,37.0,25.0
37,16.0,4.0,58.0,6.0,10.0,11.0,115.0,11.0,20.0,19.0,271.0,2.0,18.0,37.0,106.0,3.0,25.0,36.0,83.0,14.0,25.0,36.0,58.0,16.0,15.0,38.0,43.0,20.0,22.0,28.0,43.0,18.0
