,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,6.0,0.0,3.0,0.0,4.0,1.0,51.0,4.0,2.0,5.0,414.0,1.0,0.0,8.0,1158.0,0.0,4.0,12.0,252.0,3.0,5.0,9.0,41.0,2.0,4.0,6.0,12.0,4.0,2.0,6.0,7.0,3.0
1,3.0,0.0,6.0,1.0,6.0,0.0,42.0,4.0,3.0,7.0,176.0,0.0,1.0,7.0,1046.0,0.0,2.0,7.0,239.0,1.0,8.0,7.0,38.0,4.0,4.0,8.0,15.0,4.0,6.0,6.0,8.0,18.0
2,1.0,0.0,6.0,1.0,2.0,0.0,45.0,1.0,1.0,12.0,180.0,0.0,0.0,11.0,1048.0,1.0,4.0,12.0,238.0,0.0,5.0,5.0,42.0,0.0,3.0,7.0,9.0,1.0,13.0,8.0,8.0,8.0
3,2.0,0.0,10.0,1.0,2.0,3.0,45.0,0.0,2.0,2.0,162.0,0.0,2.0,11.0,1039.0,0.0,6.0,7.0,224.0,0.0,5.0,4.0,36.0,2.0,1.0,4.0,14.0,1.0,2.0,5.0,12.0,1.0
4,3.0,0.0,8.0,0.0,1.0,0.0,41.0,2.0,3.0,3.0,166.0,0.0,3.0,9.0,1041.0,0.0,5.0,9.0,216.0,5.0,8.0,7.0,40.0,3.0,1.0,5.0,11.0,2.0,3.0,6.0,8.0,1.0
5,1.0,0.0,8.0,3.0,3.0,1.0,47.0,8.0,1.0,5.0,156.0,0.0,3.0,7.0,1006.0,6.0,5.0,8.0,210.0,0.0,6.0,6.0,40.0,1.0,2.0,4.0,10.0,2.0,9.0,11.0,9.0,3.0
6,1.0,4.0,7.0,1.0,3.0,1.0,41.0,3.0,3.0,2.0,156.0,0.0,0.0,6.0,997.0,0.0,4.0,9.0,207.0,1.0,12.0,5.0,47.0,4.0,3.0,9.0,11.0,4.0,2.0,4.0,7.0,2.0
7,4.0,0.0,7.0,3.0,5.0,0.0,43.0,3.0,1.0,12.0,166.0,0.0,2.0,5.0,973.0,1.0,3.0,6.0,200.0,0.0,4.0,5.0,44.0,4.0,1.0,9.0,14.0,5.0,18.0,10.0,10.0,6.0
8,1.0,1.0,7.0,0.0,2.0,0.0,35.0,2.0,6.0,8.0,157.0,3.0,5.0,17.0,969.0,0.0,4.0,6.0,190.0,0.0,4.0,7.0,42.0,1.0,3.0,10.0,14.0,3.0,4.0,9.0,9.0,2.0
9,3.0,0.0,7.0,2.0,2.0,4.0,36.0,4.0,1.0,4.0,164.0,0.0,3.0,11.0,969.0,1.0,2.0,11.0,187.0,0.0,8.0,11.0,43.0,2.0,3.0,7.0,11.0,3.0,7.0,10.0,10.0,7.0
