,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,1.0,0.0,1.0,2.0,2.0,7.0,2.0,1.0,8.0,10.0,0.0,1.0,8.0,42.0,0.0,2.0,6.0,96.0,1.0,3.0,6.0,817.0,4.0,8.0,7.0,157.0,7.0,13.0,17.0,28.0,5.0
1,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,10.0,7.0,4.0,0.0,2.0,9.0,35.0,5.0,3.0,17.0,88.0,3.0,3.0,10.0,836.0,4.0,2.0,7.0,163.0,5.0,3.0,11.0,29.0,6.0
2,2.0,1.0,5.0,4.0,2.0,9.0,0.0,2.0,1.0,10.0,9.0,0.0,1.0,10.0,42.0,0.0,3.0,7.0,90.0,1.0,5.0,8.0,805.0,2.0,2.0,9.0,149.0,4.0,4.0,13.0,26.0,4.0
3,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,12.0,6.0,6.0,0.0,3.0,7.0,39.0,2.0,3.0,13.0,91.0,1.0,6.0,9.0,818.0,3.0,3.0,7.0,152.0,3.0,4.0,13.0,28.0,4.0
4,1.0,0.0,5.0,4.0,2.0,1.0,4.0,2.0,1.0,8.0,11.0,0.0,0.0,7.0,42.0,0.0,2.0,6.0,93.0,1.0,3.0,6.0,807.0,3.0,16.0,7.0,149.0,5.0,8.0,10.0,29.0,13.0
5,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,5.0,0.0,2.0,10.0,36.0,15.0,3.0,6.0,87.0,3.0,3.0,10.0,834.0,4.0,2.0,9.0,153.0,5.0,3.0,9.0,31.0,7.0
6,2.0,13.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,5.0,7.0,0.0,2.0,10.0,35.0,0.0,8.0,7.0,88.0,0.0,7.0,13.0,792.0,10.0,5.0,20.0,137.0,15.0,4.0,18.0,25.0,9.0
7,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,12.0,5.0,6.0,0.0,1.0,14.0,37.0,0.0,4.0,7.0,88.0,3.0,4.0,7.0,824.0,3.0,2.0,8.0,145.0,5.0,3.0,11.0,29.0,7.0
8,2.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,7.0,3.0,0.0,8.0,10.0,36.0,0.0,3.0,6.0,86.0,5.0,4.0,9.0,822.0,4.0,2.0,7.0,147.0,5.0,4.0,11.0,28.0,7.0
9,4.0,9.0,0.0,8.0,2.0,7.0,0.0,2.0,2.0,8.0,12.0,0.0,1.0,13.0,44.0,0.0,4.0,10.0,95.0,1.0,4.0,10.0,806.0,3.0,3.0,11.0,145.0,3.0,6.0,15.0,30.0,6.0
10,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,10.0,36.0,0.0,8.0,7.0,87.0,4.0,11.0,7.0,785.0,4.0,10.0,8.0,131.0,19.0,19.0,12.0,25.0,15.0
