,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,4.0,0.0,2.0,0.0,0.0,1.0,6.0,1.0,3.0,13.0,77.0,1.0,4.0,11.0,778.0,0.0,4.0,15.0,957.0,3.0,5.0,12.0,83.0,5.0,6.0,8.0,17.0,6.0,6.0,6.0,11.0,3.0
1,0.0,1.0,0.0,2.0,2.0,4.0,10.0,2.0,0.0,8.0,78.0,1.0,1.0,20.0,704.0,2.0,5.0,10.0,938.0,11.0,7.0,11.0,77.0,7.0,4.0,10.0,18.0,11.0,2.0,9.0,11.0,4.0
2,1.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,5.0,11.0,76.0,0.0,1.0,12.0,706.0,0.0,4.0,8.0,931.0,0.0,6.0,13.0,76.0,2.0,4.0,14.0,19.0,7.0,6.0,12.0,18.0,3.0
3,1.0,0.0,6.0,0.0,3.0,5.0,10.0,5.0,0.0,9.0,77.0,0.0,6.0,12.0,694.0,0.0,6.0,10.0,920.0,0.0,6.0,10.0,76.0,2.0,4.0,7.0,19.0,8.0,6.0,9.0,15.0,2.0
4,5.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0,11.0,74.0,1.0,4.0,11.0,687.0,0.0,2.0,16.0,915.0,1.0,5.0,11.0,78.0,2.0,2.0,8.0,18.0,4.0,3.0,9.0,11.0,1.0
5,6.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,7.0,9.0,75.0,0.0,5.0,12.0,678.0,0.0,4.0,8.0,910.0,2.0,4.0,12.0,73.0,1.0,4.0,7.0,21.0,8.0,4.0,9.0,8.0,4.0
6,2.0,4.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,11.0,70.0,0.0,1.0,13.0,678.0,0.0,4.0,10.0,915.0,2.0,6.0,8.0,73.0,3.0,3.0,7.0,19.0,8.0,6.0,11.0,9.0,5.0
7,2.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,15.0,73.0,1.0,1.0,13.0,677.0,2.0,4.0,8.0,915.0,6.0,8.0,12.0,82.0,3.0,5.0,6.0,22.0,6.0,5.0,8.0,9.0,8.0
8,3.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,9.0,7.0,66.0,1.0,3.0,13.0,675.0,0.0,7.0,7.0,917.0,1.0,17.0,10.0,72.0,1.0,2.0,8.0,20.0,4.0,2.0,5.0,8.0,4.0
9,1.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,1.0,8.0,74.0,0.0,1.0,10.0,661.0,1.0,3.0,10.0,910.0,0.0,6.0,11.0,77.0,2.0,1.0,6.0,17.0,4.0,3.0,10.0,10.0,3.0
10,2.0,1.0,2.0,2.0,0.0,0.0,8.0,1.0,1.0,14.0,69.0,0.0,0.0,14.0,652.0,0.0,2.0,14.0,907.0,0.0,7.0,13.0,68.0,1.0,6.0,7.0,21.0,4.0,7.0,9.0,9.0,2.0
11,1.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,2.0,5.0,70.0,0.0,3.0,10.0,651.0,2.0,2.0,10.0,914.0,0.0,3.0,9.0,71.0,2.0,3.0,7.0,20.0,7.0,8.0,4.0,9.0,3.0
12,2.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,7.0,73.0,5.0,0.0,14.0,649.0,0.0,5.0,10.0,911.0,10.0,5.0,6.0,71.0,2.0,2.0,10.0,21.0,6.0,5.0,8.0,7.0,10.0
13,0.0,0.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,11.0,69.0,0.0,0.0,10.0,635.0,0.0,6.0,7.0,900.0,1.0,11.0,10.0,76.0,1.0,3.0,9.0,26.0,4.0,7.0,11.0,14.0,2.0
14,1.0,0.0,1.0,0.0,2.0,3.0,6.0,5.0,2.0,10.0,73.0,2.0,2.0,10.0,619.0,0.0,6.0,8.0,908.0,2.0,7.0,7.0,66.0,1.0,3.0,5.0,20.0,1.0,5.0,9.0,10.0,8.0
15,4.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,3.0,7.0,68.0,0.0,0.0,10.0,627.0,0.0,4.0,7.0,892.0,6.0,3.0,7.0,77.0,1.0,9.0,8.0,22.0,7.0,6.0,6.0,8.0,5.0
16,2.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,10.0,75.0,0.0,2.0,10.0,606.0,1.0,8.0,7.0,899.0,0.0,8.0,6.0,72.0,1.0,5.0,13.0,19.0,8.0,2.0,10.0,9.0,3.0
