,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,0.0,4.0,4.0,2.0,0.0,1.0,8.0,2.0,2.0,5.0,5.0,1.0,4.0,3.0,1.0,3.0,6.0,12.0,3.0,7.0,15.0,26.0,6.0,6.0,23.0,566.0,22.0,17.0,53.0,943.0,34.0
1,6.0,0.0,4.0,3.0,3.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,4.0,3.0,12.0,3.0,6.0,9.0,30.0,8.0,6.0,23.0,563.0,19.0,16.0,53.0,936.0,29.0
2,2.0,0.0,1.0,3.0,2.0,0.0,1.0,7.0,6.0,0.0,5.0,0.0,6.0,2.0,2.0,1.0,3.0,4.0,12.0,2.0,6.0,15.0,25.0,11.0,6.0,23.0,567.0,22.0,16.0,53.0,941.0,28.0
3,2.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,2.0,0.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,7.0,10.0,2.0,9.0,11.0,26.0,6.0,12.0,25.0,557.0,19.0,16.0,52.0,936.0,31.0
4,6.0,0.0,0.0,3.0,6.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,13.0,7.0,7.0,9.0,31.0,12.0,6.0,23.0,560.0,21.0,15.0,56.0,938.0,29.0
5,6.0,2.0,0.0,3.0,7.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,6.0,5.0,2.0,1.0,3.0,3.0,12.0,2.0,6.0,10.0,30.0,8.0,6.0,23.0,558.0,21.0,18.0,53.0,942.0,36.0
6,3.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,3.0,7.0,12.0,5.0,7.0,10.0,27.0,12.0,6.0,28.0,551.0,21.0,19.0,53.0,940.0,34.0
7,7.0,3.0,0.0,6.0,2.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,4.0,9.0,12.0,3.0,6.0,10.0,27.0,7.0,5.0,24.0,556.0,18.0,17.0,53.0,936.0,33.0
8,3.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,14.0,4.0,6.0,9.0,25.0,9.0,6.0,24.0,557.0,25.0,17.0,54.0,943.0,36.0
9,2.0,0.0,1.0,3.0,2.0,0.0,3.0,7.0,5.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,3.0,5.0,11.0,2.0,8.0,15.0,27.0,6.0,6.0,23.0,548.0,20.0,18.0,53.0,935.0,28.0
10,2.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,17.0,6.0,7.0,10.0,30.0,6.0,11.0,24.0,546.0,19.0,17.0,59.0,932.0,30.0
11,3.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,3.0,2.0,1.0,3.0,3.0,12.0,3.0,6.0,9.0,30.0,11.0,6.0,24.0,552.0,24.0,18.0,54.0,939.0,36.0
12,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,7.0,0.0,4.0,3.0,12.0,7.0,6.0,10.0,32.0,9.0,6.0,25.0,552.0,23.0,17.0,54.0,937.0,31.0
13,2.0,4.0,0.0,8.0,2.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,6.0,5.0,12.0,2.0,6.0,16.0,26.0,6.0,5.0,30.0,543.0,18.0,16.0,53.0,932.0,29.0
14,2.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,12.0,6.0,6.0,10.0,28.0,8.0,6.0,24.0,548.0,24.0,19.0,54.0,929.0,28.0
15,4.0,4.0,0.0,6.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,8.0,3.0,11.0,3.0,7.0,11.0,25.0,6.0,5.0,26.0,539.0,18.0,17.0,58.0,930.0,31.0
