,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,11.0,1.0,12.0,6.0,1.0,1.0,8.0,41.0,0.0,12.0,5.0,106.0,2.0,7.0,5.0,901.0,10.0,3.0,13.0,313.0,7.0,10.0,11.0,34.0,4.0
1,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,7.0,4.0,0.0,1.0,9.0,35.0,8.0,2.0,9.0,107.0,1.0,3.0,5.0,837.0,4.0,2.0,7.0,188.0,5.0,11.0,10.0,29.0,18.0
2,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,7.0,4.0,0.0,2.0,10.0,35.0,8.0,2.0,15.0,88.0,4.0,3.0,8.0,838.0,3.0,2.0,5.0,190.0,6.0,11.0,10.0,30.0,11.0
3,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,6.0,6.0,0.0,9.0,10.0,36.0,0.0,2.0,13.0,88.0,3.0,4.0,8.0,836.0,3.0,2.0,7.0,182.0,5.0,10.0,10.0,30.0,18.0
4,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,6.0,7.0,5.0,0.0,0.0,13.0,34.0,2.0,2.0,9.0,100.0,1.0,3.0,6.0,828.0,4.0,13.0,7.0,178.0,5.0,7.0,13.0,29.0,11.0
5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,7.0,4.0,0.0,2.0,10.0,35.0,0.0,2.0,17.0,87.0,4.0,3.0,8.0,830.0,3.0,2.0,7.0,182.0,6.0,11.0,10.0,30.0,7.0
6,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,7.0,4.0,0.0,1.0,9.0,34.0,5.0,2.0,10.0,106.0,1.0,3.0,5.0,829.0,3.0,2.0,7.0,175.0,6.0,18.0,10.0,30.0,6.0
7,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,12.0,6.0,5.0,0.0,1.0,9.0,34.0,2.0,2.0,7.0,100.0,1.0,14.0,6.0,815.0,4.0,4.0,6.0,168.0,8.0,5.0,16.0,32.0,6.0
8,2.0,7.0,7.0,5.0,1.0,0.0,4.0,2.0,1.0,5.0,5.0,0.0,4.0,8.0,38.0,0.0,3.0,11.0,90.0,1.0,5.0,8.0,813.0,2.0,6.0,8.0,160.0,20.0,6.0,23.0,29.0,13.0
9,10.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,7.0,0.0,4.0,10.0,36.0,0.0,2.0,10.0,85.0,2.0,4.0,9.0,824.0,3.0,2.0,7.0,171.0,6.0,11.0,10.0,29.0,17.0
