,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,5.0,8.0,2.0,1.0,0.0,1.0,9.0,3.0,1.0,5.0,5.0,14.0,2.0,7.0,10.0,27.0,8.0,6.0,26.0,563.0,20.0,24.0,51.0,951.0,29.0
1,2.0,0.0,1.0,3.0,2.0,0.0,1.0,8.0,2.0,1.0,1.0,0.0,1.0,2.0,7.0,2.0,4.0,9.0,12.0,3.0,8.0,10.0,26.0,7.0,11.0,22.0,565.0,20.0,17.0,50.0,946.0,32.0
2,3.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,7.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,12.0,4.0,9.0,10.0,32.0,7.0,7.0,22.0,565.0,25.0,17.0,53.0,943.0,29.0
3,7.0,0.0,1.0,3.0,3.0,0.0,1.0,7.0,4.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0,5.0,3.0,12.0,5.0,6.0,14.0,30.0,8.0,7.0,21.0,569.0,25.0,17.0,55.0,944.0,29.0
4,3.0,0.0,1.0,4.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,7.0,4.0,17.0,2.0,6.0,9.0,27.0,8.0,5.0,22.0,559.0,20.0,16.0,51.0,948.0,30.0
5,2.0,0.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,5.0,2.0,7.0,0.0,3.0,9.0,12.0,3.0,6.0,10.0,29.0,6.0,10.0,22.0,564.0,19.0,16.0,57.0,941.0,30.0
6,4.0,3.0,0.0,4.0,2.0,4.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,4.0,3.0,12.0,4.0,6.0,13.0,26.0,6.0,7.0,22.0,562.0,23.0,16.0,54.0,944.0,30.0
7,3.0,0.0,1.0,2.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,9.0,11.0,3.0,10.0,9.0,28.0,6.0,7.0,22.0,560.0,25.0,20.0,53.0,945.0,29.0
8,3.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,5.0,3.0,4.0,0.0,3.0,3.0,12.0,4.0,11.0,10.0,26.0,7.0,5.0,22.0,558.0,20.0,16.0,54.0,941.0,29.0
9,3.0,0.0,4.0,4.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,4.0,6.0,3.0,1.0,5.0,4.0,15.0,2.0,6.0,9.0,27.0,8.0,5.0,23.0,564.0,20.0,19.0,55.0,944.0,35.0
