,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5.0,0.0,3.0,2.0,2.0,0.0,4.0,4.0,2.0,6.0,1.0,0.0,2.0,10.0,10.0,0.0,2.0,6.0,37.0,4.0,7.0,7.0,830.0,4.0,3.0,11.0,869.0,7.0,4.0,14.0,73.0,13.0
1,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,6.0,12.0,0.0,2.0,6.0,48.0,5.0,8.0,10.0,842.0,3.0,3.0,6.0,871.0,8.0,11.0,17.0,65.0,9.0
2,3.0,0.0,0.0,2.0,1.0,0.0,3.0,7.0,2.0,5.0,2.0,0.0,1.0,10.0,15.0,0.0,3.0,4.0,48.0,6.0,6.0,6.0,836.0,4.0,8.0,13.0,857.0,7.0,4.0,18.0,63.0,16.0
3,3.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,1.0,0.0,5.0,6.0,15.0,1.0,2.0,6.0,41.0,5.0,9.0,13.0,843.0,3.0,3.0,7.0,870.0,8.0,6.0,16.0,56.0,8.0
4,2.0,0.0,2.0,8.0,8.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,7.0,14.0,5.0,4.0,9.0,44.0,1.0,5.0,5.0,862.0,5.0,3.0,7.0,848.0,13.0,9.0,22.0,58.0,9.0
5,6.0,0.0,1.0,2.0,1.0,0.0,5.0,8.0,1.0,14.0,3.0,0.0,1.0,5.0,17.0,4.0,9.0,8.0,41.0,2.0,3.0,7.0,844.0,5.0,2.0,8.0,851.0,12.0,9.0,22.0,62.0,7.0
6,6.0,4.0,1.0,1.0,1.0,0.0,5.0,7.0,3.0,4.0,1.0,0.0,1.0,6.0,15.0,0.0,2.0,7.0,42.0,2.0,4.0,19.0,838.0,2.0,3.0,7.0,862.0,11.0,13.0,18.0,57.0,9.0
7,3.0,1.0,0.0,2.0,1.0,0.0,2.0,5.0,8.0,4.0,2.0,0.0,1.0,5.0,17.0,0.0,3.0,5.0,40.0,2.0,9.0,11.0,836.0,4.0,2.0,8.0,866.0,10.0,5.0,20.0,60.0,12.0
8,5.0,1.0,5.0,2.0,3.0,0.0,2.0,3.0,2.0,4.0,4.0,0.0,4.0,9.0,13.0,0.0,2.0,5.0,46.0,3.0,3.0,7.0,847.0,10.0,5.0,17.0,853.0,6.0,6.0,14.0,66.0,11.0
9,3.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,5.0,2.0,0.0,1.0,8.0,12.0,0.0,4.0,12.0,42.0,2.0,5.0,8.0,830.0,9.0,3.0,7.0,856.0,10.0,6.0,19.0,58.0,9.0
10,1.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,8.0,9.0,12.0,0.0,2.0,6.0,47.0,6.0,6.0,10.0,836.0,2.0,2.0,7.0,863.0,10.0,8.0,18.0,57.0,9.0
11,4.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,4.0,2.0,0.0,1.0,4.0,17.0,1.0,5.0,5.0,40.0,2.0,3.0,7.0,835.0,6.0,2.0,10.0,847.0,13.0,14.0,25.0,62.0,7.0
12,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,6.0,13.0,0.0,2.0,6.0,45.0,3.0,10.0,11.0,834.0,3.0,3.0,7.0,868.0,9.0,13.0,18.0,57.0,9.0
13,5.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,8.0,15.0,0.0,3.0,4.0,45.0,2.0,6.0,12.0,827.0,4.0,2.0,9.0,854.0,11.0,9.0,31.0,61.0,7.0
14,2.0,3.0,1.0,1.0,1.0,0.0,6.0,4.0,7.0,3.0,1.0,0.0,0.0,7.0,20.0,6.0,5.0,10.0,45.0,1.0,4.0,5.0,840.0,6.0,4.0,8.0,856.0,12.0,4.0,16.0,57.0,10.0
15,1.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,5.0,19.0,0.0,7.0,5.0,43.0,1.0,3.0,7.0,837.0,6.0,3.0,12.0,848.0,5.0,5.0,18.0,63.0,8.0
