,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,5.0,2.0,5.0,5.0,0.0,1.0,8.0,5.0,0.0,5.0,8.0,21.0,3.0,11.0,8.0,41.0,8.0,4.0,15.0,863.0,17.0,11.0,48.0,771.0,21.0
1,3.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,4.0,3.0,1.0,3.0,5.0,21.0,2.0,6.0,12.0,50.0,7.0,10.0,19.0,874.0,19.0,14.0,48.0,771.0,29.0
2,5.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,8.0,5.0,0.0,5.0,4.0,20.0,2.0,5.0,10.0,46.0,8.0,4.0,17.0,874.0,15.0,11.0,50.0,765.0,23.0
3,3.0,0.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,0.0,2.0,1.0,1.0,3.0,5.0,0.0,4.0,11.0,22.0,5.0,7.0,8.0,45.0,8.0,4.0,23.0,872.0,14.0,18.0,44.0,762.0,25.0
4,2.0,0.0,1.0,2.0,2.0,0.0,6.0,2.0,6.0,1.0,1.0,1.0,0.0,7.0,4.0,2.0,4.0,6.0,25.0,3.0,11.0,10.0,46.0,9.0,3.0,17.0,868.0,18.0,17.0,43.0,765.0,25.0
5,3.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,0.0,5.0,6.0,21.0,6.0,6.0,8.0,45.0,6.0,10.0,19.0,872.0,21.0,16.0,47.0,764.0,30.0
6,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,2.0,4.0,6.0,1.0,3.0,4.0,18.0,1.0,5.0,13.0,47.0,6.0,8.0,24.0,881.0,13.0,10.0,43.0,755.0,22.0
7,3.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,6.0,1.0,3.0,0.0,6.0,4.0,4.0,1.0,4.0,4.0,21.0,2.0,5.0,14.0,47.0,5.0,5.0,16.0,867.0,15.0,11.0,44.0,748.0,23.0
8,3.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,5.0,5.0,21.0,6.0,5.0,11.0,48.0,12.0,9.0,18.0,869.0,17.0,11.0,45.0,750.0,19.0
9,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,1.0,3.0,0.0,6.0,4.0,3.0,1.0,4.0,4.0,21.0,2.0,6.0,14.0,49.0,6.0,5.0,17.0,867.0,14.0,11.0,44.0,754.0,23.0
10,3.0,0.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,0.0,6.0,5.0,20.0,3.0,5.0,11.0,47.0,11.0,11.0,17.0,869.0,18.0,11.0,45.0,746.0,22.0
11,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,1.0,6.0,4.0,0.0,5.0,5.0,20.0,3.0,9.0,10.0,49.0,7.0,7.0,21.0,873.0,16.0,12.0,47.0,742.0,28.0
