,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3.0,3.0,10.0,5.0,5.0,3.0,77.0,1.0,4.0,5.0,1278.0,0.0,2.0,11.0,1128.0,0.0,4.0,8.0,113.0,1.0,5.0,9.0,27.0,5.0,8.0,3.0,8.0,2.0,6.0,6.0,10.0,4.0
1,5.0,1.0,10.0,1.0,1.0,0.0,61.0,2.0,2.0,5.0,1036.0,4.0,1.0,8.0,952.0,0.0,5.0,8.0,85.0,1.0,12.0,9.0,26.0,1.0,5.0,9.0,12.0,3.0,10.0,10.0,7.0,12.0
2,7.0,4.0,12.0,2.0,3.0,0.0,60.0,0.0,2.0,2.0,1021.0,3.0,1.0,10.0,925.0,0.0,4.0,7.0,92.0,0.0,5.0,8.0,30.0,4.0,3.0,7.0,12.0,6.0,5.0,5.0,15.0,4.0
3,4.0,0.0,13.0,0.0,3.0,0.0,68.0,5.0,2.0,6.0,1000.0,0.0,0.0,7.0,913.0,1.0,5.0,7.0,90.0,0.0,8.0,7.0,30.0,2.0,4.0,9.0,9.0,4.0,3.0,6.0,5.0,5.0
4,1.0,0.0,8.0,1.0,7.0,0.0,59.0,2.0,3.0,8.0,971.0,1.0,1.0,14.0,894.0,0.0,5.0,4.0,88.0,1.0,6.0,7.0,23.0,2.0,7.0,5.0,10.0,2.0,2.0,8.0,11.0,4.0
5,6.0,3.0,11.0,1.0,1.0,2.0,66.0,2.0,3.0,7.0,952.0,0.0,1.0,6.0,878.0,0.0,4.0,6.0,95.0,1.0,5.0,8.0,26.0,4.0,3.0,12.0,13.0,2.0,4.0,8.0,5.0,4.0
6,6.0,0.0,12.0,0.0,2.0,1.0,55.0,3.0,1.0,4.0,940.0,0.0,7.0,10.0,874.0,1.0,9.0,9.0,89.0,0.0,9.0,6.0,21.0,1.0,3.0,6.0,11.0,2.0,4.0,10.0,11.0,3.0
7,3.0,1.0,14.0,1.0,2.0,1.0,61.0,4.0,1.0,2.0,901.0,0.0,2.0,8.0,850.0,0.0,4.0,9.0,92.0,0.0,7.0,9.0,25.0,7.0,2.0,12.0,8.0,3.0,7.0,6.0,9.0,6.0
8,8.0,0.0,13.0,1.0,1.0,0.0,58.0,2.0,2.0,4.0,880.0,0.0,5.0,12.0,825.0,0.0,9.0,6.0,87.0,0.0,8.0,6.0,24.0,5.0,3.0,9.0,8.0,5.0,5.0,7.0,10.0,3.0
9,3.0,0.0,9.0,5.0,2.0,0.0,59.0,1.0,1.0,2.0,872.0,5.0,3.0,10.0,818.0,0.0,4.0,5.0,86.0,0.0,6.0,5.0,21.0,2.0,9.0,4.0,8.0,5.0,10.0,5.0,6.0,2.0
10,5.0,0.0,13.0,1.0,4.0,1.0,60.0,5.0,2.0,3.0,829.0,0.0,1.0,7.0,793.0,0.0,4.0,8.0,84.0,0.0,2.0,9.0,24.0,7.0,4.0,6.0,12.0,7.0,4.0,8.0,8.0,2.0
11,3.0,0.0,14.0,1.0,0.0,0.0,61.0,4.0,2.0,3.0,813.0,0.0,1.0,7.0,773.0,0.0,5.0,8.0,85.0,0.0,8.0,6.0,26.0,3.0,3.0,9.0,8.0,11.0,2.0,5.0,6.0,6.0
12,1.0,0.0,11.0,2.0,4.0,1.0,58.0,1.0,2.0,5.0,775.0,0.0,1.0,9.0,752.0,1.0,7.0,9.0,88.0,2.0,4.0,7.0,27.0,9.0,4.0,4.0,10.0,3.0,6.0,6.0,9.0,11.0
13,3.0,1.0,11.0,2.0,5.0,0.0,59.0,1.0,1.0,2.0,743.0,0.0,4.0,7.0,736.0,3.0,3.0,6.0,88.0,1.0,6.0,7.0,24.0,3.0,7.0,5.0,10.0,4.0,4.0,9.0,9.0,4.0
14,0.0,0.0,8.0,2.0,7.0,0.0,61.0,3.0,1.0,3.0,719.0,0.0,1.0,10.0,731.0,0.0,7.0,9.0,81.0,2.0,5.0,8.0,25.0,3.0,4.0,5.0,10.0,2.0,4.0,4.0,9.0,6.0
