,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,0.0,7.0,2.0,2.0,1.0,61.0,1.0,5.0,7.0,972.0,0.0,5.0,17.0,1027.0,2.0,6.0,11.0,153.0,2.0,13.0,7.0,36.0,7.0,4.0,9.0,13.0,8.0,5.0,8.0,17.0,5.0
1,1.0,4.0,8.0,5.0,3.0,0.0,42.0,3.0,4.0,5.0,322.0,1.0,4.0,9.0,996.0,1.0,4.0,7.0,135.0,0.0,6.0,9.0,38.0,4.0,2.0,11.0,11.0,5.0,3.0,9.0,10.0,7.0
2,2.0,0.0,9.0,1.0,4.0,0.0,51.0,3.0,3.0,3.0,315.0,0.0,1.0,9.0,991.0,0.0,5.0,9.0,140.0,2.0,7.0,10.0,31.0,2.0,3.0,5.0,11.0,3.0,3.0,9.0,9.0,7.0
3,3.0,0.0,11.0,2.0,2.0,0.0,43.0,4.0,1.0,11.0,311.0,0.0,1.0,7.0,980.0,0.0,7.0,5.0,140.0,1.0,6.0,10.0,32.0,2.0,2.0,12.0,10.0,2.0,5.0,6.0,13.0,2.0
4,3.0,0.0,9.0,2.0,3.0,1.0,47.0,3.0,2.0,3.0,290.0,0.0,1.0,7.0,955.0,2.0,3.0,6.0,137.0,2.0,7.0,9.0,33.0,5.0,6.0,5.0,17.0,2.0,2.0,8.0,11.0,8.0
5,0.0,1.0,7.0,2.0,2.0,0.0,44.0,4.0,1.0,3.0,275.0,0.0,2.0,8.0,947.0,0.0,4.0,6.0,136.0,0.0,9.0,6.0,32.0,4.0,3.0,10.0,16.0,2.0,5.0,7.0,5.0,6.0
6,4.0,5.0,5.0,1.0,1.0,0.0,42.0,0.0,1.0,2.0,274.0,0.0,3.0,9.0,929.0,0.0,3.0,7.0,133.0,1.0,4.0,14.0,40.0,3.0,6.0,6.0,13.0,3.0,2.0,19.0,7.0,5.0
7,9.0,1.0,8.0,2.0,2.0,0.0,39.0,2.0,8.0,5.0,250.0,0.0,2.0,9.0,905.0,0.0,5.0,12.0,134.0,0.0,9.0,6.0,28.0,2.0,4.0,5.0,10.0,2.0,4.0,9.0,7.0,7.0
8,2.0,1.0,8.0,4.0,1.0,1.0,39.0,8.0,5.0,4.0,247.0,1.0,1.0,7.0,897.0,0.0,4.0,9.0,132.0,2.0,6.0,15.0,37.0,2.0,4.0,5.0,15.0,2.0,4.0,7.0,9.0,5.0
9,3.0,0.0,8.0,1.0,2.0,1.0,46.0,2.0,4.0,4.0,230.0,0.0,2.0,8.0,882.0,0.0,6.0,10.0,128.0,1.0,5.0,7.0,32.0,6.0,5.0,6.0,12.0,3.0,9.0,6.0,8.0,3.0
10,4.0,1.0,12.0,1.0,5.0,0.0,43.0,7.0,1.0,5.0,227.0,0.0,5.0,11.0,846.0,0.0,5.0,8.0,129.0,0.0,6.0,8.0,30.0,2.0,3.0,4.0,12.0,4.0,4.0,4.0,10.0,3.0
11,2.0,0.0,6.0,3.0,3.0,0.0,39.0,1.0,1.0,2.0,210.0,0.0,2.0,11.0,846.0,0.0,4.0,7.0,123.0,1.0,5.0,7.0,38.0,2.0,4.0,8.0,11.0,4.0,5.0,9.0,9.0,9.0
12,0.0,0.0,5.0,2.0,4.0,3.0,44.0,3.0,2.0,3.0,212.0,0.0,3.0,7.0,817.0,0.0,4.0,7.0,120.0,3.0,6.0,11.0,38.0,2.0,3.0,9.0,14.0,2.0,10.0,6.0,10.0,7.0
13,3.0,0.0,6.0,3.0,4.0,1.0,48.0,3.0,4.0,8.0,205.0,0.0,2.0,9.0,804.0,0.0,6.0,8.0,118.0,2.0,9.0,5.0,33.0,4.0,2.0,6.0,7.0,4.0,10.0,6.0,10.0,7.0
14,1.0,1.0,6.0,6.0,2.0,0.0,50.0,1.0,1.0,4.0,182.0,1.0,0.0,8.0,775.0,0.0,7.0,6.0,128.0,5.0,5.0,9.0,31.0,3.0,7.0,7.0,12.0,3.0,12.0,5.0,9.0,2.0
15,7.0,1.0,7.0,3.0,3.0,2.0,44.0,1.0,3.0,5.0,184.0,2.0,6.0,9.0,748.0,0.0,8.0,8.0,121.0,4.0,7.0,8.0,32.0,3.0,3.0,12.0,15.0,3.0,5.0,9.0,10.0,5.0
16,2.0,2.0,6.0,3.0,3.0,0.0,38.0,1.0,1.0,2.0,179.0,2.0,1.0,7.0,708.0,0.0,3.0,6.0,118.0,3.0,7.0,6.0,34.0,5.0,6.0,5.0,13.0,5.0,6.0,8.0,13.0,5.0
17,3.0,1.0,6.0,3.0,3.0,1.0,42.0,2.0,7.0,8.0,167.0,0.0,2.0,9.0,693.0,0.0,2.0,7.0,118.0,5.0,11.0,11.0,39.0,5.0,10.0,9.0,10.0,10.0,8.0,12.0,8.0,6.0
18,2.0,0.0,6.0,1.0,2.0,1.0,39.0,2.0,2.0,6.0,159.0,0.0,1.0,9.0,665.0,1.0,2.0,7.0,114.0,0.0,6.0,9.0,35.0,5.0,5.0,7.0,13.0,1.0,4.0,5.0,8.0,5.0
