,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,4.0,0.0,3.0,6.0,2.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,2.0,12.0,3.0,2.0,4.0,5.0,17.0,2.0,6.0,10.0,33.0,6.0,6.0,23.0,807.0,17.0,13.0,52.0,879.0,26.0
1,2.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,7.0,4.0,2.0,0.0,1.0,3.0,4.0,0.0,4.0,6.0,15.0,3.0,4.0,9.0,31.0,5.0,7.0,22.0,811.0,20.0,12.0,53.0,878.0,28.0
2,2.0,3.0,0.0,4.0,3.0,0.0,5.0,3.0,6.0,0.0,0.0,3.0,5.0,2.0,2.0,1.0,2.0,4.0,15.0,1.0,6.0,10.0,33.0,6.0,5.0,23.0,811.0,17.0,13.0,54.0,884.0,23.0
3,6.0,1.0,5.0,7.0,4.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,5.0,4.0,2.0,5.0,4.0,16.0,2.0,5.0,11.0,37.0,6.0,10.0,24.0,799.0,15.0,19.0,53.0,876.0,23.0
4,2.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,1.0,6.0,7.0,2.0,2.0,2.0,3.0,16.0,1.0,5.0,9.0,33.0,5.0,4.0,21.0,809.0,15.0,13.0,51.0,880.0,26.0
5,2.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,6.0,4.0,4.0,8.0,16.0,3.0,6.0,12.0,36.0,7.0,11.0,27.0,798.0,15.0,13.0,51.0,876.0,26.0
6,2.0,0.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,4.0,16.0,1.0,5.0,9.0,31.0,5.0,5.0,22.0,810.0,16.0,14.0,54.0,883.0,26.0
7,2.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,3.0,1.0,7.0,4.0,16.0,6.0,6.0,10.0,35.0,5.0,8.0,21.0,797.0,13.0,12.0,51.0,874.0,25.0
8,3.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,5.0,2.0,0.0,3.0,5.0,17.0,2.0,5.0,9.0,30.0,7.0,7.0,21.0,795.0,21.0,12.0,52.0,871.0,25.0
9,4.0,2.0,3.0,5.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,4.0,3.0,15.0,4.0,5.0,9.0,31.0,5.0,6.0,23.0,806.0,16.0,13.0,52.0,873.0,26.0
10,3.0,0.0,0.0,3.0,5.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,15.0,1.0,5.0,10.0,33.0,5.0,4.0,22.0,800.0,15.0,13.0,58.0,881.0,28.0
11,2.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,7.0,3.0,16.0,7.0,11.0,10.0,32.0,5.0,8.0,24.0,799.0,18.0,13.0,52.0,880.0,26.0
12,1.0,1.0,3.0,1.0,5.0,2.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,19.0,2.0,5.0,11.0,33.0,7.0,9.0,28.0,792.0,22.0,19.0,52.0,871.0,25.0
13,2.0,0.0,1.0,3.0,2.0,3.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,6.0,4.0,20.0,1.0,5.0,12.0,36.0,6.0,8.0,21.0,789.0,15.0,13.0,53.0,873.0,25.0
14,3.0,4.0,2.0,3.0,2.0,0.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,6.0,0.0,3.0,5.0,15.0,2.0,6.0,10.0,31.0,11.0,10.0,24.0,791.0,20.0,19.0,52.0,868.0,30.0
15,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,5.0,19.0,2.0,5.0,11.0,33.0,5.0,7.0,27.0,789.0,17.0,19.0,58.0,875.0,33.0
16,3.0,0.0,3.0,7.0,4.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,3.0,2.0,0.0,4.0,7.0,15.0,3.0,5.0,9.0,30.0,10.0,9.0,21.0,786.0,14.0,12.0,53.0,863.0,24.0
