,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,17.0,10.0,85.0,6.0,16.0,15.0,1083.0,10.0,19.0,32.0,1367.0,7.0,14.0,32.0,120.0,5.0,23.0,35.0,82.0,13.0,24.0,36.0,62.0,16.0,19.0,28.0,44.0,18.0,20.0,30.0,44.0,17.0
1,18.0,5.0,90.0,9.0,17.0,15.0,567.0,8.0,18.0,32.0,1084.0,7.0,21.0,34.0,124.0,2.0,25.0,28.0,91.0,9.0,26.0,35.0,64.0,16.0,16.0,28.0,46.0,18.0,22.0,30.0,37.0,17.0
2,12.0,8.0,93.0,10.0,12.0,17.0,550.0,9.0,18.0,31.0,1042.0,7.0,17.0,42.0,128.0,2.0,20.0,34.0,88.0,10.0,22.0,34.0,54.0,22.0,17.0,28.0,45.0,20.0,22.0,30.0,33.0,18.0
3,13.0,10.0,98.0,7.0,12.0,15.0,547.0,8.0,20.0,34.0,1021.0,3.0,15.0,31.0,138.0,2.0,22.0,30.0,88.0,10.0,28.0,32.0,60.0,15.0,15.0,30.0,43.0,23.0,21.0,30.0,34.0,25.0
4,13.0,3.0,91.0,6.0,15.0,13.0,527.0,6.0,19.0,35.0,1007.0,1.0,17.0,37.0,125.0,2.0,22.0,38.0,95.0,9.0,32.0,35.0,60.0,17.0,15.0,31.0,45.0,19.0,25.0,30.0,38.0,24.0
5,12.0,7.0,93.0,8.0,19.0,13.0,514.0,8.0,20.0,31.0,979.0,1.0,17.0,37.0,131.0,4.0,26.0,32.0,88.0,8.0,26.0,32.0,59.0,16.0,22.0,35.0,51.0,19.0,17.0,40.0,38.0,19.0
6,11.0,6.0,90.0,9.0,13.0,12.0,503.0,6.0,17.0,37.0,951.0,3.0,15.0,39.0,127.0,4.0,23.0,29.0,83.0,11.0,23.0,32.0,59.0,16.0,18.0,33.0,49.0,21.0,20.0,32.0,37.0,22.0
7,15.0,7.0,98.0,6.0,12.0,12.0,475.0,6.0,17.0,37.0,930.0,2.0,17.0,37.0,121.0,8.0,24.0,30.0,84.0,9.0,26.0,37.0,64.0,20.0,14.0,30.0,48.0,19.0,20.0,26.0,35.0,19.0
8,15.0,7.0,94.0,7.0,16.0,14.0,461.0,9.0,15.0,34.0,904.0,3.0,14.0,36.0,123.0,3.0,28.0,35.0,82.0,9.0,27.0,34.0,56.0,15.0,15.0,27.0,48.0,18.0,22.0,28.0,32.0,22.0
9,10.0,9.0,98.0,6.0,12.0,15.0,440.0,13.0,17.0,36.0,870.0,4.0,15.0,37.0,120.0,3.0,24.0,29.0,82.0,9.0,22.0,38.0,54.0,17.0,21.0,30.0,39.0,23.0,22.0,27.0,38.0,19.0
10,16.0,7.0,94.0,12.0,15.0,15.0,436.0,9.0,20.0,32.0,842.0,2.0,14.0,36.0,127.0,10.0,27.0,30.0,85.0,9.0,31.0,32.0,58.0,16.0,19.0,28.0,51.0,20.0,25.0,30.0,33.0,18.0
11,11.0,6.0,96.0,6.0,17.0,13.0,413.0,8.0,21.0,35.0,819.0,2.0,16.0,40.0,123.0,3.0,23.0,29.0,88.0,10.0,28.0,37.0,59.0,17.0,19.0,29.0,47.0,23.0,21.0,33.0,39.0,19.0
12,12.0,5.0,93.0,8.0,16.0,12.0,409.0,6.0,16.0,33.0,797.0,0.0,17.0,37.0,124.0,1.0,21.0,34.0,89.0,9.0,24.0,34.0,54.0,19.0,15.0,28.0,42.0,23.0,21.0,30.0,40.0,19.0
13,13.0,8.0,95.0,6.0,11.0,16.0,394.0,9.0,15.0,36.0,769.0,2.0,16.0,35.0,126.0,2.0,22.0,36.0,90.0,9.0,26.0,37.0,58.0,20.0,18.0,32.0,41.0,20.0,25.0,27.0,37.0,21.0
14,13.0,8.0,99.0,5.0,12.0,16.0,379.0,7.0,18.0,36.0,736.0,3.0,20.0,38.0,135.0,3.0,26.0,29.0,90.0,8.0,24.0,40.0,62.0,17.0,21.0,34.0,43.0,22.0,20.0,31.0,37.0,19.0
15,15.0,5.0,97.0,11.0,14.0,18.0,383.0,8.0,18.0,40.0,711.0,1.0,17.0,42.0,130.0,5.0,21.0,32.0,83.0,14.0,22.0,34.0,53.0,21.0,16.0,31.0,40.0,18.0,22.0,27.0,36.0,18.0
16,12.0,8.0,92.0,7.0,13.0,13.0,360.0,8.0,19.0,34.0,672.0,3.0,17.0,31.0,120.0,3.0,29.0,29.0,82.0,11.0,27.0,33.0,62.0,16.0,16.0,27.0,44.0,19.0,20.0,31.0,35.0,19.0
17,11.0,7.0,89.0,7.0,10.0,16.0,357.0,6.0,17.0,34.0,648.0,2.0,18.0,36.0,126.0,2.0,26.0,32.0,88.0,11.0,26.0,35.0,55.0,16.0,14.0,28.0,40.0,18.0,19.0,33.0,32.0,17.0
18,12.0,7.0,91.0,5.0,14.0,12.0,347.0,7.0,18.0,38.0,637.0,5.0,16.0,36.0,124.0,7.0,22.0,32.0,92.0,8.0,25.0,34.0,60.0,17.0,14.0,32.0,41.0,18.0,18.0,27.0,34.0,19.0
19,13.0,4.0,93.0,5.0,10.0,14.0,337.0,5.0,14.0,34.0,611.0,3.0,19.0,42.0,124.0,4.0,20.0,35.0,82.0,8.0,29.0,32.0,54.0,15.0,18.0,38.0,48.0,22.0,19.0,29.0,39.0,25.0
20,14.0,6.0,90.0,7.0,17.0,13.0,336.0,8.0,19.0,31.0,576.0,2.0,14.0,34.0,123.0,6.0,20.0,32.0,91.0,7.0,24.0,36.0,55.0,15.0,21.0,32.0,41.0,17.0,23.0,35.0,30.0,17.0
21,10.0,5.0,88.0,5.0,14.0,16.0,334.0,7.0,19.0,33.0,571.0,3.0,18.0,35.0,126.0,3.0,24.0,31.0,91.0,10.0,28.0,39.0,55.0,16.0,17.0,27.0,48.0,26.0,18.0,27.0,40.0,22.0
22,12.0,7.0,92.0,8.0,15.0,13.0,325.0,5.0,22.0,44.0,558.0,5.0,20.0,49.0,135.0,6.0,29.0,29.0,83.0,10.0,27.0,33.0,63.0,15.0,16.0,31.0,47.0,21.0,18.0,29.0,33.0,24.0
23,10.0,5.0,94.0,12.0,14.0,15.0,317.0,8.0,21.0,35.0,530.0,1.0,15.0,36.0,125.0,2.0,25.0,36.0,85.0,13.0,24.0,32.0,62.0,16.0,19.0,28.0,45.0,17.0,20.0,27.0,41.0,18.0
24,11.0,4.0,92.0,9.0,14.0,11.0,312.0,8.0,20.0,37.0,503.0,0.0,16.0,36.0,124.0,2.0,21.0,33.0,86.0,11.0,25.0,35.0,57.0,19.0,18.0,31.0,42.0,21.0,22.0,27.0,36.0,18.0
25,11.0,7.0,95.0,6.0,15.0,15.0,307.0,14.0,18.0,36.0,477.0,3.0,17.0,34.0,128.0,4.0,24.0,31.0,89.0,15.0,26.0,33.0,53.0,17.0,16.0,29.0,44.0,17.0,20.0,29.0,36.0,21.0
26,12.0,5.0,98.0,6.0,11.0,15.0,298.0,11.0,20.0,34.0,461.0,5.0,18.0,40.0,118.0,3.0,24.0,34.0,89.0,7.0,24.0,37.0,56.0,13.0,14.0,32.0,44.0,19.0,20.0,29.0,33.0,17.0
27,14.0,7.0,94.0,5.0,11.0,13.0,302.0,7.0,18.0,38.0,455.0,4.0,14.0,39.0,120.0,2.0,26.0,34.0,81.0,15.0,24.0,32.0,56.0,16.0,17.0,30.0,44.0,19.0,21.0,29.0,35.0,25.0
28,12.0,5.0,96.0,7.0,12.0,13.0,299.0,8.0,24.0,35.0,444.0,8.0,16.0,37.0,127.0,1.0,25.0,31.0,87.0,10.0,28.0,36.0,56.0,16.0,15.0,33.0,49.0,18.0,21.0,31.0,34.0,21.0
29,13.0,8.0,93.0,6.0,12.0,16.0,303.0,6.0,17.0,39.0,428.0,1.0,15.0,37.0,131.0,3.0,23.0,37.0,88.0,9.0,27.0,38.0,56.0,14.0,14.0,29.0,42.0,16.0,18.0,35.0,34.0,21.0
30,15.0,7.0,85.0,10.0,12.0,11.0,306.0,6.0,15.0,34.0,404.0,5.0,15.0,34.0,124.0,6.0,27.0,33.0,85.0,11.0,26.0,36.0,63.0,15.0,16.0,34.0,42.0,18.0,19.0,32.0,39.0,17.0
31,14.0,6.0,92.0,6.0,16.0,13.0,299.0,7.0,17.0,35.0,410.0,4.0,16.0,33.0,122.0,2.0,24.0,32.0,88.0,11.0,29.0,33.0,59.0,17.0,18.0,27.0,44.0,18.0,27.0,32.0,37.0,17.0
32,10.0,6.0,92.0,7.0,12.0,16.0,283.0,9.0,19.0,37.0,405.0,1.0,16.0,38.0,127.0,3.0,26.0,32.0,88.0,10.0,30.0,37.0,63.0,17.0,17.0,33.0,44.0,19.0,18.0,32.0,41.0,22.0
33,14.0,8.0,85.0,5.0,13.0,15.0,283.0,7.0,19.0,33.0,389.0,1.0,14.0,41.0,124.0,8.0,25.0,29.0,84.0,9.0,35.0,32.0,56.0,17.0,21.0,34.0,42.0,18.0,21.0,27.0,37.0,17.0
34,14.0,5.0,89.0,9.0,17.0,11.0,284.0,6.0,21.0,37.0,381.0,2.0,16.0,42.0,119.0,4.0,23.0,34.0,84.0,11.0,23.0,40.0,58.0,15.0,16.0,36.0,41.0,25.0,17.0,28.0,32.0,17.0
35,12.0,3.0,90.0,5.0,11.0,18.0,286.0,7.0,16.0,37.0,369.0,3.0,16.0,37.0,120.0,5.0,25.0,36.0,92.0,9.0,28.0,33.0,54.0,15.0,18.0,27.0,44.0,18.0,23.0,30.0,37.0,18.0
36,12.0,5.0,91.0,4.0,11.0,13.0,280.0,8.0,17.0,33.0,357.0,4.0,15.0,38.0,122.0,3.0,26.0,34.0,84.0,14.0,23.0,34.0,58.0,19.0,15.0,27.0,45.0,20.0,23.0,26.0,33.0,21.0
37,11.0,4.0,93.0,6.0,10.0,13.0,275.0,6.0,17.0,38.0,348.0,2.0,14.0,40.0,121.0,5.0,25.0,32.0,85.0,17.0,24.0,38.0,57.0,21.0,15.0,30.0,39.0,24.0,21.0,29.0,34.0,17.0
38,12.0,8.0,96.0,6.0,15.0,14.0,266.0,6.0,16.0,36.0,349.0,2.0,18.0,34.0,124.0,3.0,27.0,34.0,87.0,8.0,32.0,33.0,66.0,14.0,17.0,30.0,48.0,17.0,21.0,30.0,40.0,20.0
39,14.0,5.0,86.0,7.0,10.0,10.0,277.0,7.0,20.0,36.0,343.0,1.0,17.0,34.0,127.0,8.0,32.0,34.0,85.0,8.0,24.0,34.0,59.0,17.0,22.0,28.0,41.0,17.0,20.0,27.0,38.0,15.0
