,0
0,0.0
1,1.0
2,0.0
3,0.0
4,0.0
5,5.0
6,0.0
7,2.0
8,1.0
9,0.0
10,2.0
11,0.0
12,1.0
13,0.0
14,6.0
15,0.0
16,1.0
17,2.0
18,0.0
19,16.0
20,0.0
21,12.0
22,0.0
23,2.0
24,0.0
25,0.0
26,3.0
27,0.0
28,57.0
29,0.0
30,14.0
31,0.0
32,3.0
33,0.0
34,0.0
35,4.0
36,2.0
37,213.0
38,0.0
39,6.0
40,0.0
41,9.0
42,0.0
43,1.0
44,5.0
45,3.0
46,166.0
47,0.0
48,6.0
49,0.0
50,5.0
51,0.0
52,2.0
53,6.0
54,0.0
55,74.0
56,0.0
57,8.0
58,0.0
59,4.0
60,0.0
61,3.0
62,7.0
63,0.0
64,19.0
65,0.0
66,10.0
67,0.0
68,6.0
69,0.0
70,3.0
71,0.0
72,0.0
73,2.0
74,0.0
75,0.0
76,0.0
77,6.0
78,0.0
79,4.0
80,1.0
81,0.0
82,6.0
83,0.0
84,0.0
85,0.0
86,6.0
87,0.0
88,2.0
89,2.0
90,0.0
91,14.0
92,0.0
93,6.0
94,0.0
95,2.0
96,0.0
97,0.0
98,3.0
99,0.0
100,55.0
101,0.0
102,9.0
103,0.0
104,4.0
105,0.0
106,0.0
107,4.0
108,2.0
109,89.0
110,0.0
111,6.0
112,0.0
113,5.0
114,0.0
115,1.0
116,5.0
117,3.0
118,116.0
119,0.0
120,6.0
121,0.0
122,5.0
123,0.0
124,2.0
125,6.0
126,0.0
127,67.0
128,0.0
129,8.0
130,0.0
131,9.0
132,0.0
133,3.0
134,7.0
135,0.0
136,18.0
137,0.0
138,16.0
139,0.0
140,7.0
141,0.0
142,6.0
143,0.0
144,0.0
145,1.0
146,0.0
147,0.0
148,0.0
149,2.0
150,0.0
151,6.0
152,1.0
153,0.0
154,2.0
155,0.0
156,2.0
157,0.0
158,2.0
159,0.0
160,6.0
161,2.0
162,0.0
163,13.0
164,0.0
165,7.0
166,0.0
167,2.0
168,0.0
169,1.0
170,3.0
171,0.0
172,49.0
173,0.0
174,8.0
175,0.0
176,1.0
177,0.0
178,3.0
179,4.0
180,2.0
181,89.0
182,0.0
183,5.0
184,0.0
185,8.0
186,0.0
187,5.0
188,5.0
189,3.0
190,111.0
191,0.0
192,6.0
193,0.0
194,4.0
195,0.0
196,7.0
197,6.0
198,0.0
199,64.0
200,0.0
201,10.0
202,0.0
203,4.0
204,0.0
205,5.0
206,7.0
207,0.0
208,18.0
209,0.0
210,9.0
211,0.0
212,12.0
213,0.0
214,6.0
215,0.0
216,0.0
217,6.0
218,0.0
219,3.0
220,0.0
221,1.0
222,0.0
223,2.0
224,1.0
225,0.0
226,6.0
227,0.0
228,1.0
229,0.0
230,1.0
231,0.0
232,2.0
233,2.0
234,0.0
235,13.0
236,0.0
237,8.0
238,0.0
239,1.0
240,0.0
241,1.0
242,3.0
243,0.0
244,50.0
245,0.0
246,10.0
247,0.0
248,2.0
249,0.0
250,6.0
251,4.0
252,2.0
253,76.0
254,0.0
255,6.0
256,0.0
257,3.0
258,0.0
259,2.0
260,5.0
261,3.0
262,117.0
263,0.0
264,6.0
265,0.0
266,4.0
267,0.0
268,3.0
269,6.0
270,0.0
271,65.0
272,0.0
273,7.0
274,0.0
275,4.0
276,0.0
277,4.0
278,7.0
279,0.0
280,19.0
281,0.0
282,9.0
283,0.0
284,7.0
285,0.0
286,3.0
287,0.0
288,0.0
289,1.0
290,0.0
291,0.0
292,0.0
293,2.0
294,0.0
295,4.0
296,1.0
297,0.0
298,1.0
299,0.0
300,0.0
301,0.0
302,1.0
303,0.0
304,2.0
305,2.0
306,0.0
307,14.0
308,0.0
309,4.0
310,0.0
311,7.0
312,0.0
313,2.0
314,3.0
315,0.0
316,55.0
317,0.0
318,11.0
319,0.0
320,4.0
321,0.0
322,0.0
323,4.0
324,2.0
325,73.0
326,0.0
327,6.0
328,0.0
329,4.0
330,0.0
331,1.0
332,5.0
333,3.0
334,104.0
335,0.0
336,8.0
337,0.0
338,4.0
339,0.0
340,3.0
341,6.0
342,0.0
343,61.0
344,0.0
345,12.0
346,0.0
347,2.0
348,0.0
349,7.0
350,7.0
351,0.0
352,22.0
353,0.0
354,9.0
355,0.0
356,10.0
357,0.0
358,7.0
359,0.0
360,0.0
361,1.0
362,0.0
363,3.0
364,0.0
365,3.0
366,0.0
367,2.0
368,1.0
369,0.0
370,2.0
371,0.0
372,2.0
373,0.0
374,3.0
375,0.0
376,7.0
377,2.0
378,0.0
379,12.0
380,0.0
381,8.0
382,0.0
383,2.0
384,0.0
385,1.0
386,3.0
387,0.0
388,50.0
389,0.0
390,10.0
391,0.0
392,1.0
393,0.0
394,1.0
395,4.0
396,2.0
397,68.0
398,0.0
399,5.0
400,0.0
401,3.0
402,0.0
403,2.0
404,5.0
405,3.0
406,106.0
407,0.0
408,5.0
409,0.0
410,11.0
411,0.0
412,8.0
413,6.0
414,0.0
415,65.0
416,0.0
417,10.0
418,0.0
419,4.0
420,0.0
421,5.0
422,7.0
423,0.0
424,19.0
425,0.0
426,14.0
427,0.0
428,11.0
429,0.0
430,6.0
431,0.0
432,0.0
433,5.0
434,0.0
435,1.0
436,0.0
437,1.0
438,0.0
439,3.0
440,1.0
441,0.0
442,6.0
443,0.0
444,1.0
445,0.0
446,1.0
447,0.0
448,3.0
449,2.0
450,0.0
451,17.0
452,0.0
453,7.0
454,0.0
455,1.0
456,0.0
457,1.0
458,3.0
459,0.0
460,49.0
461,0.0
462,9.0
463,0.0
464,2.0
465,0.0
466,1.0
467,4.0
468,2.0
469,61.0
470,0.0
471,7.0
472,0.0
473,3.0
474,0.0
475,2.0
476,5.0
477,3.0
478,109.0
479,0.0
480,7.0
481,0.0
482,9.0
483,0.0
484,2.0
485,6.0
486,0.0
487,69.0
488,0.0
489,11.0
490,0.0
491,4.0
492,0.0
493,3.0
494,7.0
495,0.0
496,19.0
497,0.0
498,15.0
499,0.0
500,12.0
501,0.0
502,3.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,2.0
510,0.0
511,7.0
512,1.0
513,0.0
514,2.0
515,0.0
516,0.0
517,0.0
518,2.0
519,0.0
520,2.0
521,2.0
522,0.0
523,12.0
524,0.0
525,5.0
526,0.0
527,1.0
528,0.0
529,1.0
530,3.0
531,0.0
532,54.0
533,0.0
534,6.0
535,0.0
536,2.0
537,0.0
538,4.0
539,4.0
540,2.0
541,67.0
542,0.0
543,5.0
544,0.0
545,4.0
546,0.0
547,2.0
548,5.0
549,3.0
550,104.0
551,0.0
552,7.0
553,0.0
554,6.0
555,0.0
556,3.0
557,6.0
558,0.0
559,62.0
560,0.0
561,12.0
562,0.0
563,2.0
564,0.0
565,4.0
566,7.0
567,0.0
568,15.0
569,0.0
570,18.0
571,0.0
572,3.0
573,0.0
574,8.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,3.0
582,0.0
583,2.0
584,1.0
585,0.0
586,3.0
587,0.0
588,1.0
589,0.0
590,3.0
591,0.0
592,1.0
593,2.0
594,0.0
595,13.0
596,0.0
597,5.0
598,0.0
599,2.0
600,0.0
601,0.0
602,3.0
603,0.0
604,50.0
605,0.0
606,9.0
607,0.0
608,1.0
609,0.0
610,1.0
611,4.0
612,2.0
613,52.0
614,0.0
615,5.0
616,0.0
617,3.0
618,0.0
619,3.0
620,5.0
621,3.0
622,104.0
623,0.0
624,5.0
625,0.0
626,9.0
627,0.0
628,5.0
629,6.0
630,0.0
631,67.0
632,0.0
633,11.0
634,0.0
635,6.0
636,0.0
637,6.0
638,7.0
639,0.0
