,0
0,0.0
1,1.0
2,0.0
3,6.0
4,1.0
5,0.0
6,2.0
7,0.0
8,2.0
9,0.0
10,1.0
11,0.0
12,4.0
13,2.0
14,0.0
15,29.0
16,0.0
17,9.0
18,0.0
19,7.0
20,0.0
21,0.0
22,3.0
23,0.0
24,115.0
25,0.0
26,8.0
27,0.0
28,1.0
29,0.0
30,0.0
31,4.0
32,3.0
33,138.0
34,0.0
35,5.0
36,0.0
37,2.0
38,0.0
39,4.0
40,5.0
41,2.0
42,233.0
43,0.0
44,7.0
45,0.0
46,5.0
47,0.0
48,3.0
49,6.0
50,0.0
51,47.0
52,0.0
53,7.0
54,0.0
55,2.0
56,0.0
57,3.0
58,7.0
59,0.0
60,17.0
61,0.0
62,4.0
63,0.0
64,4.0
65,0.0
66,5.0
67,0.0
68,0.0
69,1.0
70,0.0
71,1.0
72,0.0
73,1.0
74,0.0
75,5.0
76,1.0
77,0.0
78,3.0
79,0.0
80,4.0
81,0.0
82,1.0
83,0.0
84,1.0
85,2.0
86,0.0
87,32.0
88,0.0
89,6.0
90,0.0
91,1.0
92,0.0
93,0.0
94,3.0
95,0.0
96,105.0
97,0.0
98,9.0
99,0.0
100,0.0
101,0.0
102,3.0
103,4.0
104,3.0
105,120.0
106,0.0
107,6.0
108,0.0
109,3.0
110,0.0
111,3.0
112,5.0
113,2.0
114,3.0
115,0.0
116,5.0
117,0.0
118,3.0
119,0.0
120,3.0
121,6.0
122,0.0
123,36.0
124,0.0
125,6.0
126,0.0
127,2.0
128,0.0
129,4.0
130,7.0
131,0.0
132,9.0
133,0.0
134,11.0
135,0.0
136,4.0
137,0.0
138,10.0
139,0.0
140,0.0
141,1.0
142,0.0
143,0.0
144,0.0
145,5.0
146,0.0
147,1.0
148,1.0
149,0.0
150,6.0
151,0.0
152,0.0
153,0.0
154,6.0
155,0.0
156,1.0
157,2.0
158,0.0
159,30.0
160,0.0
161,7.0
162,0.0
163,5.0
164,0.0
165,0.0
166,3.0
167,0.0
168,102.0
169,0.0
170,8.0
171,0.0
172,4.0
173,0.0
174,0.0
175,4.0
176,3.0
177,120.0
178,0.0
179,7.0
180,0.0
181,2.0
182,0.0
183,0.0
184,5.0
185,2.0
186,5.0
187,0.0
188,7.0
189,0.0
190,4.0
191,0.0
192,4.0
193,6.0
194,0.0
195,38.0
196,0.0
197,8.0
198,0.0
199,3.0
200,0.0
201,3.0
202,7.0
203,0.0
204,13.0
205,0.0
206,10.0
207,0.0
208,8.0
209,0.0
210,3.0
211,0.0
212,0.0
213,0.0
214,0.0
215,4.0
216,0.0
217,0.0
218,0.0
219,5.0
220,1.0
221,0.0
222,2.0
223,0.0
224,2.0
225,0.0
226,0.0
227,0.0
228,1.0
229,2.0
230,0.0
231,26.0
232,0.0
233,14.0
234,0.0
235,1.0
236,0.0
237,0.0
238,3.0
239,0.0
240,102.0
241,0.0
242,7.0
243,0.0
244,2.0
245,0.0
246,1.0
247,4.0
248,3.0
249,114.0
250,0.0
251,5.0
252,0.0
253,2.0
254,0.0
255,2.0
256,5.0
257,1.0
258,227.0
259,0.0
260,6.0
261,0.0
262,4.0
263,0.0
264,2.0
265,6.0
266,0.0
267,37.0
268,0.0
269,4.0
270,0.0
271,2.0
272,0.0
273,5.0
274,7.0
275,0.0
276,13.0
277,0.0
278,5.0
279,0.0
280,4.0
281,0.0
282,6.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,2.0
290,0.0
291,2.0
292,1.0
293,0.0
294,3.0
295,0.0
296,1.0
297,0.0
298,0.0
299,0.0
300,1.0
301,2.0
302,0.0
303,25.0
304,0.0
305,14.0
306,0.0
307,1.0
308,0.0
309,0.0
310,3.0
311,0.0
312,106.0
313,0.0
314,10.0
315,0.0
316,2.0
317,0.0
318,0.0
319,4.0
320,3.0
321,125.0
322,0.0
323,6.0
324,0.0
325,1.0
326,0.0
327,2.0
328,5.0
329,1.0
330,233.0
331,0.0
332,5.0
333,0.0
334,3.0
335,0.0
336,3.0
337,6.0
338,0.0
339,35.0
340,0.0
341,11.0
342,0.0
343,0.0
344,0.0
345,3.0
346,7.0
347,0.0
348,15.0
349,0.0
350,5.0
351,0.0
352,3.0
353,0.0
354,3.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,1.0
362,0.0
363,1.0
364,1.0
365,0.0
366,2.0
367,0.0
368,0.0
369,0.0
370,1.0
371,0.0
372,1.0
373,2.0
374,0.0
375,26.0
376,0.0
377,8.0
378,0.0
379,1.0
380,0.0
381,0.0
382,3.0
383,0.0
384,103.0
385,0.0
386,14.0
387,0.0
388,2.0
389,0.0
390,0.0
391,4.0
392,3.0
393,102.0
394,0.0
395,8.0
396,0.0
397,7.0
398,0.0
399,0.0
400,5.0
401,1.0
402,220.0
403,0.0
404,6.0
405,0.0
406,4.0
407,0.0
408,1.0
409,6.0
410,0.0
411,33.0
412,0.0
413,7.0
414,0.0
415,2.0
416,0.0
417,2.0
418,7.0
419,0.0
420,14.0
421,0.0
422,10.0
423,0.0
424,3.0
425,0.0
426,3.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,1.0
436,1.0
437,0.0
438,1.0
439,0.0
440,0.0
441,0.0
442,3.0
443,0.0
444,3.0
445,2.0
446,0.0
447,30.0
448,0.0
449,7.0
450,0.0
451,1.0
452,0.0
453,0.0
454,3.0
455,0.0
456,100.0
457,0.0
458,11.0
459,0.0
460,0.0
461,0.0
462,0.0
463,4.0
464,3.0
465,109.0
466,0.0
467,7.0
468,0.0
469,2.0
470,0.0
471,5.0
472,5.0
473,1.0
474,213.0
475,0.0
476,7.0
477,0.0
478,6.0
479,0.0
480,0.0
481,6.0
482,0.0
483,31.0
484,0.0
485,7.0
486,0.0
487,7.0
488,0.0
489,2.0
490,7.0
491,0.0
492,11.0
493,0.0
494,5.0
495,0.0
496,8.0
497,0.0
498,2.0
499,0.0
500,0.0
501,1.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,3.0
508,1.0
509,0.0
510,1.0
511,0.0
512,4.0
513,0.0
514,2.0
515,0.0
516,0.0
517,2.0
518,0.0
519,27.0
520,0.0
521,7.0
522,0.0
523,6.0
524,0.0
525,0.0
526,3.0
527,0.0
528,101.0
529,0.0
530,7.0
531,0.0
532,0.0
533,0.0
534,0.0
535,4.0
536,3.0
537,115.0
538,0.0
539,11.0
540,0.0
541,0.0
542,0.0
543,3.0
544,5.0
545,1.0
546,199.0
547,0.0
548,5.0
549,0.0
550,2.0
551,0.0
552,7.0
553,6.0
554,0.0
555,33.0
556,0.0
557,8.0
558,0.0
559,4.0
560,0.0
561,1.0
562,7.0
563,0.0
564,11.0
565,0.0
566,4.0
567,0.0
568,4.0
569,0.0
570,2.0
571,0.0
572,0.0
573,0.0
574,0.0
575,4.0
576,0.0
577,1.0
578,0.0
579,0.0
580,1.0
581,0.0
582,3.0
583,0.0
584,0.0
585,0.0
586,6.0
587,0.0
588,0.0
589,2.0
590,0.0
591,32.0
592,0.0
593,6.0
594,0.0
595,1.0
596,0.0
597,0.0
598,3.0
599,0.0
600,97.0
601,0.0
602,9.0
603,0.0
604,0.0
605,0.0
606,3.0
607,4.0
608,3.0
609,104.0
610,0.0
611,3.0
612,0.0
613,3.0
614,0.0
615,2.0
616,5.0
617,1.0
618,188.0
619,0.0
620,7.0
621,0.0
622,3.0
623,0.0
624,2.0
625,6.0
626,0.0
627,39.0
628,0.0
629,5.0
630,0.0
631,0.0
632,0.0
633,7.0
634,7.0
635,0.0
636,9.0
637,0.0
638,5.0
639,0.0
