,0
0,0.0
1,0.0
2,0.0
3,10.0
4,0.0
5,3.0
6,0.0
7,0.0
8,0.0
9,2.0
10,1.0
11,0.0
12,9.0
13,0.0
14,8.0
15,0.0
16,5.0
17,0.0
18,1.0
19,2.0
20,0.0
21,66.0
22,0.0
23,13.0
24,0.0
25,0.0
26,0.0
27,0.0
28,3.0
29,1.0
30,111.0
31,0.0
32,16.0
33,0.0
34,0.0
35,0.0
36,4.0
37,4.0
38,1.0
39,7.0
40,0.0
41,8.0
42,0.0
43,0.0
44,0.0
45,4.0
46,5.0
47,0.0
48,12.0
49,0.0
50,8.0
51,0.0
52,2.0
53,0.0
54,3.0
55,6.0
56,0.0
57,2.0
58,0.0
59,3.0
60,0.0
61,7.0
62,0.0
63,1.0
64,7.0
65,0.0
66,2.0
67,0.0
68,0.0
69,0.0
70,1.0
71,0.0
72,3.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1.0
78,0.0
79,0.0
80,0.0
81,1.0
82,1.0
83,0.0
84,1.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,1.0
91,2.0
92,0.0
93,6.0
94,0.0
95,9.0
96,0.0
97,1.0
98,0.0
99,1.0
100,3.0
101,2.0
102,14.0
103,0.0
104,5.0
105,0.0
106,0.0
107,0.0
108,0.0
109,4.0
110,3.0
111,48.0
112,0.0
113,1.0
114,0.0
115,5.0
116,0.0
117,1.0
118,5.0
119,0.0
120,56.0
121,0.0
122,8.0
123,0.0
124,2.0
125,0.0
126,4.0
127,6.0
128,0.0
129,17.0
130,0.0
131,11.0
132,0.0
133,4.0
134,0.0
135,3.0
136,7.0
137,0.0
138,8.0
139,0.0
140,10.0
141,0.0
142,7.0
143,0.0
144,12.0
145,0.0
146,0.0
147,10.0
148,0.0
149,19.0
150,0.0
151,0.0
152,0.0
153,6.0
154,1.0
155,0.0
156,14.0
157,0.0
158,19.0
159,0.0
160,1.0
161,0.0
162,12.0
163,2.0
164,0.0
165,75.0
166,0.0
167,30.0
168,0.0
169,5.0
170,0.0
171,7.0
172,3.0
173,3.0
174,214.0
175,0.0
176,24.0
177,0.0
178,0.0
179,0.0
180,9.0
181,4.0
182,4.0
183,103.0
184,0.0
185,17.0
186,0.0
187,1.0
188,0.0
189,11.0
190,5.0
191,0.0
192,69.0
193,0.0
194,21.0
195,0.0
196,6.0
197,0.0
198,9.0
199,6.0
200,0.0
201,16.0
202,0.0
203,10.0
204,0.0
205,6.0
206,0.0
207,5.0
208,7.0
209,0.0
210,10.0
211,0.0
212,6.0
213,0.0
214,8.0
215,0.0
216,3.0
217,0.0
218,0.0
219,3.0
220,0.0
221,11.0
222,0.0
223,0.0
224,0.0
225,6.0
226,1.0
227,0.0
228,4.0
229,0.0
230,4.0
231,0.0
232,0.0
233,0.0
234,2.0
235,2.0
236,0.0
237,10.0
238,0.0
239,10.0
240,0.0
241,1.0
242,0.0
243,0.0
244,3.0
245,0.0
246,16.0
247,0.0
248,3.0
249,0.0
250,5.0
251,0.0
252,1.0
253,4.0
254,0.0
255,11.0
256,0.0
257,1.0
258,0.0
259,1.0
260,0.0
261,0.0
262,5.0
263,0.0
264,7.0
265,0.0
266,2.0
267,0.0
268,1.0
269,0.0
270,1.0
271,6.0
272,0.0
273,5.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,7.0
281,0.0
282,1.0
283,0.0
284,1.0
285,0.0
286,1.0
287,0.0
288,0.0
289,0.0
290,0.0
291,4.0
292,0.0
293,5.0
294,0.0
295,0.0
296,0.0
297,1.0
298,1.0
299,0.0
300,3.0
301,0.0
302,5.0
303,0.0
304,0.0
305,0.0
306,4.0
307,2.0
308,0.0
309,65.0
310,0.0
311,24.0
312,0.0
313,1.0
314,0.0
315,4.0
316,3.0
317,3.0
318,214.0
319,0.0
320,26.0
321,0.0
322,1.0
323,0.0
324,7.0
325,4.0
326,4.0
327,130.0
328,0.0
329,14.0
330,0.0
331,0.0
332,0.0
333,12.0
334,5.0
335,0.0
336,76.0
337,0.0
338,15.0
339,0.0
340,4.0
341,0.0
342,9.0
343,6.0
344,0.0
345,21.0
346,0.0
347,12.0
348,0.0
349,5.0
350,0.0
351,7.0
352,7.0
353,0.0
354,19.0
355,0.0
356,14.0
357,0.0
358,6.0
359,0.0
360,8.0
361,0.0
362,0.0
363,9.0
364,0.0
365,22.0
366,0.0
367,0.0
368,0.0
369,8.0
370,1.0
371,0.0
372,17.0
373,0.0
374,19.0
375,0.0
376,3.0
377,0.0
378,13.0
379,2.0
380,0.0
381,58.0
382,0.0
383,24.0
384,0.0
385,1.0
386,0.0
387,9.0
388,3.0
389,2.0
390,69.0
391,0.0
392,19.0
393,0.0
394,1.0
395,0.0
396,7.0
397,4.0
398,1.0
399,179.0
400,0.0
401,9.0
402,0.0
403,3.0
404,0.0
405,6.0
406,5.0
407,0.0
408,23.0
409,0.0
410,9.0
411,0.0
412,2.0
413,0.0
414,3.0
415,6.0
416,0.0
417,4.0
418,0.0
419,2.0
420,0.0
421,3.0
422,0.0
423,6.0
424,7.0
425,0.0
426,5.0
427,0.0
428,3.0
429,0.0
430,1.0
431,0.0
432,2.0
433,0.0
434,0.0
435,1.0
436,0.0
437,5.0
438,0.0
439,3.0
440,0.0
441,1.0
442,1.0
443,0.0
444,0.0
445,0.0
446,2.0
447,0.0
448,0.0
449,0.0
450,1.0
451,2.0
452,0.0
453,4.0
454,0.0
455,2.0
456,0.0
457,0.0
458,0.0
459,0.0
460,3.0
461,1.0
462,33.0
463,0.0
464,2.0
465,0.0
466,0.0
467,0.0
468,1.0
469,4.0
470,2.0
471,105.0
472,0.0
473,3.0
474,0.0
475,0.0
476,0.0
477,0.0
478,5.0
479,0.0
480,30.0
481,0.0
482,2.0
483,0.0
484,2.0
485,0.0
486,2.0
487,6.0
488,0.0
489,11.0
490,0.0
491,9.0
492,0.0
493,1.0
494,0.0
495,1.0
496,7.0
497,0.0
498,8.0
499,0.0
500,7.0
501,0.0
502,2.0
503,0.0
504,5.0
505,0.0
506,0.0
507,4.0
508,0.0
509,15.0
510,0.0
511,0.0
512,0.0
513,6.0
514,1.0
515,0.0
516,12.0
517,0.0
518,19.0
519,0.0
520,2.0
521,0.0
522,12.0
523,2.0
524,0.0
525,72.0
526,0.0
527,31.0
528,0.0
529,0.0
530,0.0
531,9.0
532,3.0
533,3.0
534,187.0
535,0.0
536,26.0
537,0.0
538,0.0
539,0.0
540,8.0
541,4.0
542,4.0
543,111.0
544,0.0
545,20.0
546,0.0
547,1.0
548,0.0
549,11.0
550,5.0
551,0.0
552,77.0
553,0.0
554,16.0
555,0.0
556,9.0
557,0.0
558,9.0
559,6.0
560,0.0
561,28.0
562,0.0
563,11.0
564,0.0
565,11.0
566,0.0
567,5.0
568,7.0
569,0.0
570,19.0
571,0.0
