,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2.0,0.0,3.0,3.0,0.0,0.0,25.0,0.0,3.0,6.0,155.0,0.0,2.0,12.0,874.0,0.0,2.0,11.0,739.0,0.0,5.0,6.0,40.0,1.0,5.0,9.0,15.0,2.0,2.0,7.0,6.0,16.0
1,0.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,8.0,163.0,0.0,1.0,18.0,873.0,2.0,6.0,9.0,745.0,0.0,5.0,8.0,33.0,5.0,4.0,4.0,8.0,2.0,6.0,4.0,7.0,10.0
2,4.0,0.0,4.0,2.0,0.0,0.0,26.0,0.0,1.0,10.0,162.0,1.0,2.0,11.0,881.0,0.0,3.0,11.0,746.0,0.0,3.0,17.0,36.0,3.0,2.0,17.0,9.0,2.0,4.0,5.0,6.0,2.0
3,0.0,0.0,0.0,0.0,2.0,0.0,23.0,2.0,1.0,10.0,155.0,5.0,6.0,10.0,873.0,0.0,2.0,6.0,716.0,0.0,4.0,8.0,42.0,1.0,2.0,8.0,9.0,2.0,2.0,5.0,6.0,2.0
4,1.0,0.0,5.0,0.0,0.0,1.0,22.0,0.0,5.0,8.0,140.0,0.0,0.0,12.0,871.0,0.0,3.0,9.0,705.0,0.0,6.0,15.0,40.0,4.0,6.0,4.0,11.0,6.0,8.0,6.0,7.0,1.0
5,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,5.0,149.0,0.0,2.0,9.0,858.0,0.0,2.0,5.0,710.0,1.0,4.0,8.0,41.0,1.0,3.0,6.0,13.0,2.0,3.0,7.0,9.0,4.0
6,0.0,0.0,1.0,0.0,2.0,0.0,24.0,0.0,3.0,8.0,150.0,5.0,0.0,12.0,879.0,0.0,4.0,10.0,709.0,5.0,6.0,12.0,41.0,5.0,5.0,15.0,11.0,4.0,2.0,4.0,7.0,5.0
7,10.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,1.0,9.0,149.0,0.0,2.0,12.0,865.0,2.0,3.0,7.0,687.0,2.0,7.0,7.0,43.0,1.0,1.0,12.0,7.0,3.0,4.0,5.0,7.0,3.0
8,7.0,0.0,3.0,2.0,1.0,0.0,21.0,0.0,1.0,14.0,142.0,5.0,0.0,12.0,869.0,0.0,2.0,9.0,670.0,1.0,6.0,10.0,40.0,2.0,1.0,4.0,10.0,4.0,4.0,5.0,7.0,4.0
9,1.0,2.0,4.0,1.0,2.0,2.0,22.0,8.0,2.0,5.0,130.0,0.0,2.0,7.0,851.0,3.0,3.0,6.0,664.0,1.0,5.0,15.0,41.0,5.0,2.0,10.0,15.0,2.0,3.0,8.0,15.0,5.0
10,5.0,0.0,3.0,0.0,1.0,1.0,26.0,0.0,0.0,8.0,140.0,1.0,0.0,11.0,858.0,0.0,4.0,6.0,656.0,1.0,6.0,9.0,39.0,2.0,5.0,7.0,13.0,6.0,2.0,4.0,9.0,4.0
11,1.0,0.0,2.0,0.0,2.0,0.0,24.0,1.0,1.0,10.0,133.0,0.0,0.0,15.0,866.0,0.0,4.0,6.0,642.0,0.0,5.0,9.0,39.0,3.0,1.0,6.0,10.0,2.0,2.0,6.0,11.0,2.0
12,7.0,0.0,2.0,2.0,4.0,0.0,24.0,1.0,1.0,10.0,131.0,0.0,1.0,12.0,852.0,0.0,3.0,8.0,633.0,0.0,3.0,10.0,42.0,3.0,2.0,5.0,11.0,5.0,8.0,3.0,13.0,3.0
13,2.0,0.0,1.0,0.0,1.0,0.0,27.0,1.0,0.0,10.0,138.0,0.0,1.0,17.0,852.0,1.0,5.0,5.0,619.0,1.0,5.0,11.0,33.0,1.0,2.0,4.0,11.0,3.0,7.0,9.0,9.0,6.0
14,2.0,0.0,6.0,0.0,1.0,0.0,25.0,0.0,3.0,8.0,136.0,0.0,0.0,15.0,839.0,0.0,6.0,7.0,611.0,0.0,7.0,6.0,32.0,7.0,1.0,5.0,14.0,0.0,4.0,7.0,11.0,6.0
15,0.0,1.0,1.0,1.0,1.0,0.0,23.0,1.0,0.0,11.0,130.0,0.0,2.0,11.0,851.0,0.0,4.0,6.0,601.0,0.0,4.0,8.0,34.0,3.0,2.0,4.0,9.0,1.0,4.0,6.0,8.0,6.0
16,3.0,1.0,2.0,0.0,1.0,0.0,29.0,4.0,7.0,17.0,129.0,0.0,1.0,13.0,842.0,4.0,10.0,6.0,585.0,1.0,4.0,7.0,40.0,3.0,2.0,12.0,10.0,2.0,4.0,15.0,10.0,3.0
17,3.0,3.0,8.0,1.0,3.0,1.0,25.0,6.0,6.0,8.0,130.0,0.0,0.0,11.0,855.0,0.0,7.0,14.0,580.0,1.0,8.0,11.0,44.0,2.0,5.0,9.0,11.0,5.0,4.0,5.0,6.0,3.0
18,0.0,0.0,1.0,0.0,2.0,0.0,24.0,0.0,1.0,8.0,127.0,0.0,1.0,13.0,844.0,0.0,3.0,5.0,567.0,0.0,6.0,10.0,37.0,4.0,2.0,7.0,10.0,1.0,5.0,6.0,8.0,3.0
19,0.0,0.0,5.0,0.0,0.0,0.0,23.0,0.0,5.0,6.0,121.0,0.0,1.0,10.0,828.0,1.0,2.0,6.0,547.0,0.0,4.0,5.0,33.0,0.0,7.0,10.0,11.0,4.0,2.0,4.0,6.0,2.0
20,3.0,4.0,3.0,1.0,1.0,1.0,28.0,1.0,1.0,7.0,116.0,1.0,0.0,10.0,848.0,0.0,5.0,10.0,536.0,1.0,7.0,8.0,34.0,2.0,2.0,10.0,8.0,1.0,3.0,7.0,8.0,4.0
21,0.0,0.0,1.0,0.0,2.0,3.0,22.0,0.0,0.0,8.0,122.0,5.0,2.0,9.0,829.0,0.0,1.0,9.0,514.0,0.0,5.0,8.0,43.0,3.0,1.0,6.0,8.0,0.0,1.0,4.0,5.0,1.0
22,0.0,0.0,2.0,0.0,4.0,1.0,22.0,0.0,0.0,11.0,120.0,0.0,1.0,17.0,835.0,0.0,3.0,7.0,517.0,0.0,5.0,6.0,38.0,1.0,1.0,3.0,8.0,3.0,4.0,5.0,10.0,4.0
23,1.0,1.0,5.0,1.0,1.0,1.0,25.0,0.0,0.0,6.0,114.0,0.0,0.0,12.0,832.0,0.0,1.0,6.0,487.0,0.0,4.0,7.0,32.0,2.0,3.0,4.0,10.0,4.0,7.0,10.0,9.0,4.0
24,1.0,0.0,8.0,0.0,0.0,0.0,27.0,1.0,1.0,6.0,112.0,0.0,2.0,12.0,818.0,0.0,7.0,16.0,482.0,1.0,9.0,7.0,36.0,2.0,1.0,8.0,12.0,6.0,4.0,9.0,6.0,2.0
25,3.0,0.0,3.0,1.0,0.0,0.0,23.0,0.0,1.0,5.0,109.0,0.0,0.0,15.0,840.0,1.0,1.0,7.0,482.0,0.0,6.0,6.0,35.0,2.0,5.0,12.0,15.0,3.0,6.0,8.0,11.0,4.0
26,2.0,0.0,5.0,0.0,1.0,0.0,26.0,0.0,0.0,7.0,114.0,4.0,0.0,11.0,828.0,0.0,5.0,8.0,453.0,0.0,8.0,6.0,36.0,4.0,8.0,5.0,9.0,10.0,3.0,3.0,3.0,6.0
27,1.0,1.0,4.0,1.0,1.0,0.0,24.0,1.0,2.0,8.0,120.0,0.0,0.0,9.0,813.0,0.0,2.0,10.0,452.0,0.0,6.0,9.0,39.0,3.0,3.0,5.0,9.0,2.0,6.0,9.0,8.0,7.0
28,0.0,1.0,4.0,3.0,2.0,4.0,22.0,0.0,0.0,5.0,113.0,0.0,0.0,11.0,819.0,0.0,5.0,6.0,432.0,1.0,3.0,6.0,35.0,2.0,3.0,5.0,6.0,2.0,13.0,3.0,6.0,6.0
29,0.0,0.0,3.0,0.0,1.0,0.0,20.0,0.0,2.0,4.0,110.0,0.0,2.0,12.0,822.0,2.0,2.0,7.0,417.0,0.0,3.0,7.0,35.0,1.0,4.0,5.0,12.0,2.0,4.0,4.0,7.0,0.0
30,1.0,0.0,3.0,3.0,0.0,0.0,22.0,0.0,0.0,7.0,100.0,0.0,0.0,9.0,814.0,0.0,2.0,10.0,400.0,0.0,3.0,11.0,39.0,6.0,6.0,9.0,14.0,2.0,1.0,4.0,5.0,2.0
31,1.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,2.0,6.0,112.0,0.0,0.0,16.0,806.0,0.0,2.0,6.0,389.0,3.0,6.0,9.0,37.0,2.0,3.0,9.0,10.0,5.0,7.0,11.0,13.0,4.0
32,0.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0,2.0,9.0,112.0,0.0,0.0,9.0,804.0,9.0,1.0,6.0,379.0,3.0,6.0,9.0,34.0,5.0,2.0,7.0,10.0,2.0,3.0,11.0,9.0,3.0
33,0.0,0.0,2.0,1.0,5.0,0.0,25.0,0.0,0.0,4.0,102.0,0.0,4.0,10.0,822.0,0.0,5.0,7.0,362.0,1.0,2.0,8.0,33.0,2.0,5.0,6.0,11.0,1.0,10.0,6.0,9.0,4.0
34,3.0,0.0,5.0,1.0,0.0,0.0,19.0,0.0,1.0,11.0,105.0,0.0,1.0,11.0,814.0,0.0,5.0,5.0,344.0,0.0,5.0,5.0,35.0,0.0,1.0,9.0,9.0,3.0,7.0,3.0,12.0,5.0
35,4.0,0.0,1.0,3.0,0.0,0.0,19.0,2.0,0.0,6.0,99.0,0.0,0.0,8.0,801.0,0.0,1.0,6.0,333.0,0.0,4.0,6.0,39.0,2.0,4.0,6.0,11.0,1.0,3.0,4.0,15.0,3.0
36,0.0,0.0,1.0,0.0,3.0,0.0,20.0,3.0,1.0,6.0,98.0,0.0,3.0,12.0,805.0,0.0,2.0,6.0,322.0,0.0,5.0,11.0,41.0,2.0,1.0,8.0,10.0,1.0,2.0,6.0,7.0,2.0
37,0.0,0.0,4.0,0.0,3.0,0.0,24.0,2.0,1.0,6.0,102.0,0.0,1.0,13.0,819.0,0.0,2.0,6.0,310.0,0.0,5.0,7.0,42.0,2.0,4.0,5.0,13.0,1.0,4.0,6.0,9.0,2.0
38,0.0,0.0,2.0,0.0,3.0,1.0,22.0,1.0,2.0,4.0,97.0,0.0,1.0,13.0,809.0,0.0,3.0,9.0,324.0,1.0,4.0,13.0,36.0,8.0,1.0,9.0,15.0,1.0,7.0,5.0,7.0,3.0
39,1.0,0.0,1.0,0.0,2.0,1.0,24.0,3.0,0.0,13.0,102.0,1.0,0.0,11.0,789.0,0.0,4.0,7.0,295.0,0.0,7.0,11.0,37.0,3.0,1.0,4.0,10.0,2.0,5.0,4.0,7.0,4.0
40,1.0,1.0,5.0,2.0,1.0,0.0,22.0,2.0,1.0,6.0,92.0,0.0,0.0,12.0,794.0,0.0,5.0,9.0,293.0,4.0,5.0,7.0,35.0,5.0,1.0,6.0,13.0,0.0,10.0,11.0,11.0,5.0
41,0.0,0.0,1.0,0.0,0.0,0.0,20.0,2.0,3.0,5.0,99.0,0.0,1.0,8.0,795.0,0.0,7.0,11.0,272.0,1.0,5.0,6.0,38.0,4.0,3.0,8.0,12.0,1.0,4.0,7.0,5.0,6.0
42,4.0,4.0,3.0,0.0,6.0,0.0,20.0,3.0,0.0,6.0,99.0,2.0,0.0,11.0,776.0,1.0,11.0,7.0,268.0,1.0,7.0,8.0,39.0,2.0,2.0,6.0,12.0,4.0,3.0,8.0,7.0,4.0
43,1.0,0.0,4.0,4.0,1.0,8.0,12.0,1.0,2.0,9.0,104.0,1.0,2.0,12.0,783.0,5.0,7.0,8.0,255.0,2.0,6.0,8.0,34.0,2.0,8.0,7.0,11.0,3.0,3.0,7.0,7.0,7.0
44,2.0,0.0,2.0,0.0,1.0,0.0,18.0,1.0,2.0,7.0,93.0,5.0,5.0,17.0,774.0,4.0,3.0,8.0,252.0,6.0,5.0,12.0,37.0,2.0,8.0,7.0,10.0,4.0,6.0,8.0,6.0,3.0
45,2.0,0.0,2.0,0.0,1.0,0.0,20.0,3.0,2.0,11.0,93.0,0.0,5.0,11.0,766.0,0.0,3.0,7.0,237.0,2.0,6.0,12.0,34.0,2.0,3.0,6.0,14.0,5.0,4.0,8.0,7.0,5.0
46,1.0,0.0,6.0,6.0,2.0,2.0,20.0,0.0,0.0,6.0,97.0,3.0,7.0,16.0,760.0,0.0,3.0,8.0,223.0,2.0,6.0,8.0,33.0,7.0,5.0,8.0,10.0,2.0,9.0,6.0,16.0,5.0
47,1.0,0.0,2.0,2.0,3.0,1.0,19.0,1.0,4.0,9.0,89.0,0.0,0.0,11.0,739.0,2.0,4.0,11.0,219.0,0.0,7.0,8.0,36.0,7.0,3.0,6.0,9.0,7.0,5.0,6.0,7.0,2.0
48,2.0,0.0,4.0,2.0,2.0,1.0,19.0,1.0,4.0,4.0,88.0,0.0,0.0,11.0,732.0,5.0,4.0,14.0,211.0,4.0,13.0,7.0,35.0,3.0,9.0,5.0,10.0,3.0,3.0,7.0,7.0,4.0
49,2.0,0.0,2.0,4.0,4.0,0.0,19.0,1.0,1.0,5.0,90.0,0.0,1.0,11.0,718.0,5.0,5.0,14.0,203.0,1.0,12.0,8.0,35.0,3.0,3.0,6.0,10.0,3.0,3.0,8.0,7.0,5.0
50,4.0,4.0,4.0,1.0,1.0,0.0,20.0,1.0,1.0,6.0,84.0,4.0,2.0,16.0,717.0,0.0,3.0,8.0,196.0,2.0,6.0,8.0,33.0,2.0,3.0,8.0,9.0,1.0,6.0,9.0,11.0,4.0
51,1.0,0.0,4.0,5.0,1.0,1.0,19.0,5.0,2.0,4.0,88.0,0.0,1.0,12.0,697.0,2.0,4.0,8.0,182.0,0.0,5.0,14.0,35.0,1.0,5.0,6.0,15.0,4.0,3.0,8.0,7.0,10.0
52,5.0,0.0,3.0,1.0,1.0,0.0,18.0,3.0,4.0,12.0,86.0,0.0,1.0,12.0,681.0,2.0,6.0,7.0,177.0,0.0,8.0,5.0,35.0,2.0,7.0,6.0,14.0,4.0,3.0,8.0,7.0,11.0
53,3.0,4.0,3.0,1.0,0.0,0.0,21.0,5.0,1.0,7.0,83.0,1.0,3.0,11.0,665.0,0.0,6.0,7.0,179.0,1.0,4.0,8.0,33.0,4.0,4.0,11.0,11.0,3.0,7.0,6.0,8.0,5.0
54,1.0,1.0,3.0,0.0,7.0,0.0,22.0,1.0,1.0,6.0,86.0,1.0,0.0,10.0,652.0,2.0,4.0,12.0,167.0,0.0,10.0,7.0,39.0,2.0,7.0,7.0,13.0,5.0,5.0,7.0,5.0,7.0
55,4.0,2.0,6.0,1.0,1.0,0.0,18.0,7.0,2.0,6.0,78.0,0.0,1.0,9.0,640.0,0.0,6.0,7.0,159.0,7.0,4.0,9.0,34.0,1.0,6.0,9.0,10.0,3.0,7.0,4.0,10.0,4.0
56,2.0,1.0,3.0,3.0,7.0,0.0,19.0,1.0,1.0,5.0,84.0,0.0,0.0,11.0,616.0,2.0,3.0,10.0,158.0,3.0,6.0,8.0,33.0,2.0,4.0,7.0,11.0,2.0,5.0,6.0,13.0,6.0
57,1.0,0.0,1.0,1.0,4.0,0.0,19.0,1.0,0.0,6.0,78.0,1.0,1.0,13.0,604.0,2.0,5.0,10.0,151.0,0.0,6.0,12.0,35.0,2.0,3.0,6.0,12.0,3.0,9.0,7.0,6.0,6.0
58,2.0,2.0,3.0,0.0,1.0,0.0,22.0,2.0,1.0,7.0,77.0,5.0,1.0,11.0,579.0,3.0,3.0,8.0,148.0,0.0,5.0,8.0,37.0,2.0,4.0,6.0,10.0,4.0,3.0,5.0,7.0,5.0
59,1.0,0.0,5.0,3.0,2.0,1.0,20.0,1.0,2.0,6.0,75.0,0.0,2.0,14.0,575.0,0.0,2.0,8.0,147.0,3.0,5.0,9.0,35.0,7.0,4.0,8.0,9.0,3.0,4.0,9.0,9.0,3.0
60,1.0,1.0,3.0,0.0,4.0,0.0,18.0,1.0,3.0,9.0,81.0,0.0,2.0,11.0,553.0,1.0,7.0,8.0,137.0,2.0,6.0,8.0,35.0,4.0,2.0,8.0,9.0,4.0,4.0,14.0,8.0,10.0
61,5.0,0.0,5.0,2.0,1.0,0.0,17.0,4.0,2.0,9.0,78.0,0.0,8.0,10.0,535.0,0.0,3.0,7.0,137.0,3.0,4.0,9.0,33.0,7.0,3.0,10.0,10.0,8.0,5.0,7.0,6.0,11.0
62,4.0,0.0,4.0,1.0,6.0,0.0,22.0,2.0,1.0,5.0,76.0,1.0,1.0,11.0,511.0,1.0,4.0,11.0,137.0,1.0,10.0,8.0,34.0,3.0,4.0,8.0,11.0,2.0,10.0,6.0,10.0,4.0
63,1.0,0.0,6.0,1.0,1.0,2.0,17.0,6.0,2.0,8.0,76.0,0.0,2.0,11.0,499.0,0.0,8.0,6.0,130.0,1.0,6.0,8.0,32.0,4.0,3.0,13.0,11.0,2.0,11.0,10.0,7.0,4.0
64,1.0,0.0,2.0,2.0,3.0,0.0,20.0,2.0,4.0,5.0,71.0,0.0,1.0,10.0,473.0,1.0,3.0,9.0,129.0,0.0,5.0,7.0,38.0,2.0,2.0,7.0,10.0,8.0,5.0,7.0,6.0,3.0
65,7.0,0.0,4.0,0.0,3.0,1.0,21.0,3.0,0.0,8.0,76.0,0.0,2.0,12.0,474.0,0.0,7.0,11.0,130.0,1.0,6.0,8.0,31.0,2.0,1.0,8.0,15.0,1.0,5.0,5.0,6.0,5.0
66,0.0,0.0,2.0,0.0,0.0,1.0,17.0,0.0,2.0,8.0,73.0,0.0,0.0,10.0,441.0,0.0,2.0,7.0,128.0,0.0,3.0,7.0,36.0,0.0,1.0,7.0,11.0,1.0,8.0,12.0,11.0,4.0
67,1.0,0.0,5.0,3.0,5.0,0.0,18.0,5.0,2.0,4.0,66.0,1.0,0.0,15.0,432.0,0.0,3.0,10.0,126.0,0.0,7.0,9.0,38.0,6.0,4.0,4.0,9.0,2.0,6.0,6.0,9.0,8.0
68,1.0,0.0,2.0,0.0,7.0,4.0,17.0,5.0,0.0,4.0,69.0,0.0,1.0,8.0,416.0,0.0,6.0,6.0,120.0,1.0,4.0,9.0,33.0,3.0,6.0,7.0,8.0,2.0,7.0,7.0,5.0,3.0
69,6.0,0.0,2.0,0.0,2.0,1.0,16.0,0.0,1.0,5.0,64.0,2.0,1.0,16.0,399.0,0.0,5.0,6.0,117.0,1.0,5.0,8.0,32.0,7.0,6.0,10.0,13.0,8.0,12.0,10.0,12.0,8.0
70,0.0,4.0,2.0,0.0,1.0,0.0,15.0,0.0,1.0,7.0,73.0,0.0,1.0,10.0,385.0,0.0,4.0,8.0,116.0,3.0,5.0,6.0,36.0,4.0,7.0,4.0,12.0,1.0,11.0,14.0,6.0,11.0
71,11.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,70.0,0.0,1.0,9.0,357.0,0.0,4.0,6.0,117.0,1.0,8.0,6.0,29.0,0.0,1.0,5.0,8.0,3.0,2.0,6.0,9.0,5.0
72,0.0,0.0,2.0,1.0,0.0,0.0,16.0,1.0,1.0,4.0,66.0,0.0,1.0,18.0,340.0,0.0,4.0,6.0,109.0,0.0,6.0,9.0,38.0,3.0,1.0,8.0,10.0,6.0,4.0,4.0,10.0,2.0
73,0.0,0.0,4.0,0.0,2.0,0.0,18.0,0.0,1.0,6.0,59.0,0.0,0.0,13.0,331.0,0.0,5.0,8.0,109.0,0.0,5.0,9.0,34.0,1.0,2.0,10.0,14.0,5.0,6.0,10.0,18.0,6.0
74,0.0,4.0,0.0,0.0,3.0,0.0,19.0,9.0,1.0,3.0,58.0,0.0,0.0,11.0,303.0,0.0,6.0,8.0,119.0,0.0,7.0,11.0,30.0,3.0,2.0,8.0,10.0,1.0,5.0,4.0,9.0,1.0
75,4.0,1.0,4.0,1.0,0.0,0.0,13.0,0.0,8.0,7.0,56.0,0.0,1.0,11.0,295.0,0.0,2.0,8.0,108.0,0.0,7.0,9.0,38.0,5.0,3.0,7.0,8.0,7.0,1.0,13.0,10.0,2.0
76,0.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,1.0,4.0,58.0,0.0,0.0,9.0,271.0,0.0,8.0,6.0,111.0,0.0,6.0,5.0,29.0,5.0,15.0,8.0,8.0,3.0,5.0,11.0,8.0,3.0
77,0.0,0.0,3.0,0.0,0.0,0.0,19.0,5.0,0.0,6.0,64.0,0.0,1.0,8.0,259.0,0.0,5.0,10.0,114.0,1.0,6.0,5.0,32.0,3.0,7.0,4.0,11.0,9.0,4.0,4.0,6.0,2.0
