Removed Member From Class: ClassName=VLP Member=Sensor Group A
Added Component: Designator=Sensor array 1(FPC连接器-10P)
Add component. Clean all parameters for all variants
Added Pin To Net: NetName=SA1 Pin=Sensor array 1-1
Added Pin To Net: NetName=SA2 Pin=Sensor array 1-2
Added Pin To Net: NetName=SA3 Pin=Sensor array 1-3
Added Pin To Net: NetName=SA4 Pin=Sensor array 1-4
Added Pin To Net: NetName=SA5 Pin=Sensor array 1-5
Added Pin To Net: NetName=SA6 Pin=Sensor array 1-6
Added Pin To Net: NetName=SA7 Pin=Sensor array 1-7
Added Pin To Net: NetName=SA8 Pin=Sensor array 1-8
Added Pin To Net: NetName=+5V Pin=Sensor array 1-9
Added Pin To Net: NetName=+5V Pin=Sensor array 1-10
Added Pin To Net: NetName=SB1 Pin=Sensor Group B-1
Added Pin To Net: NetName=SB2 Pin=Sensor Group B-2
Added Pin To Net: NetName=SB3 Pin=Sensor Group B-3
Added Pin To Net: NetName=SB4 Pin=Sensor Group B-4
Added Pin To Net: NetName=SB5 Pin=Sensor Group B-5
Added Pin To Net: NetName=SB6 Pin=Sensor Group B-6
Added Pin To Net: NetName=SB7 Pin=Sensor Group B-7
Added Pin To Net: NetName=SB8 Pin=Sensor Group B-8
Added Pin To Net: NetName=+5V Pin=Sensor Group B-9
Added Pin To Net: NetName=+5V Pin=Sensor Group B-10
Added Pin To Net: NetName=SC1 Pin=Sensor Group C-1
Added Pin To Net: NetName=SC2 Pin=Sensor Group C-2
Added Pin To Net: NetName=SC3 Pin=Sensor Group C-3
Added Pin To Net: NetName=SC4 Pin=Sensor Group C-4
Added Pin To Net: NetName=SC5 Pin=Sensor Group C-5
Added Pin To Net: NetName=SC6 Pin=Sensor Group C-6
Added Pin To Net: NetName=SC7 Pin=Sensor Group C-7
Added Pin To Net: NetName=SC8 Pin=Sensor Group C-8
Added Pin To Net: NetName=+5V Pin=Sensor Group C-9
Added Pin To Net: NetName=+5V Pin=Sensor Group C-10
Added Pin To Net: NetName=SD1 Pin=Sensor Group D-1
Added Pin To Net: NetName=SD2 Pin=Sensor Group D-2
Added Pin To Net: NetName=SD3 Pin=Sensor Group D-3
Added Pin To Net: NetName=SD4 Pin=Sensor Group D-4
Added Pin To Net: NetName=SD5 Pin=Sensor Group D-5
Added Pin To Net: NetName=SD6 Pin=Sensor Group D-6
Added Pin To Net: NetName=SD7 Pin=Sensor Group D-7
Added Pin To Net: NetName=SD8 Pin=Sensor Group D-8
Added Pin To Net: NetName=+5V Pin=Sensor Group D-9
Added Pin To Net: NetName=+5V Pin=Sensor Group D-10
Added Member To Class: ClassName=VLP Member=Component Sensor array 1 FPC连接件
