0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3.0,17.0,12.0,3.0,9.0,7.0,9.0,7.0,11.0,9.0,7.0,13.0,6.0,6.0,8.0,6.0,8.0,7.0,9.0,6.0,17.0,21.0,11.0,8.0,12.0,19.0,29.0,16.0,42.0,46.0,40.0,38.0
4.0,5.0,9.0,3.0,7.0,8.0,7.0,8.0,11.0,11.0,6.0,8.0,9.0,3.0,5.0,8.0,9.0,5.0,8.0,9.0,13.0,11.0,20.0,9.0,15.0,23.0,18.0,25.0,41.0,54.0,38.0,26.0
2.0,7.0,2.0,15.0,7.0,7.0,3.0,8.0,11.0,5.0,9.0,9.0,7.0,5.0,9.0,9.0,9.0,4.0,11.0,6.0,11.0,17.0,13.0,7.0,19.0,27.0,20.0,19.0,49.0,39.0,40.0,30.0
5.0,5.0,10.0,2.0,9.0,3.0,4.0,15.0,3.0,6.0,4.0,10.0,5.0,5.0,12.0,5.0,9.0,10.0,11.0,7.0,13.0,21.0,10.0,8.0,18.0,17.0,19.0,17.0,39.0,45.0,42.0,37.0
3.0,6.0,2.0,9.0,8.0,7.0,4.0,8.0,11.0,8.0,4.0,6.0,8.0,3.0,3.0,5.0,10.0,5.0,7.0,11.0,14.0,8.0,8.0,12.0,15.0,26.0,26.0,17.0,38.0,56.0,55.0,29.0
1.0,13.0,9.0,6.0,8.0,7.0,3.0,3.0,11.0,7.0,4.0,5.0,10.0,5.0,6.0,6.0,12.0,11.0,18.0,14.0,11.0,15.0,10.0,15.0,13.0,27.0,16.0,16.0,44.0,39.0,39.0,29.0
9.0,6.0,4.0,4.0,6.0,3.0,7.0,4.0,9.0,5.0,4.0,12.0,7.0,11.0,5.0,9.0,8.0,12.0,6.0,14.0,14.0,16.0,16.0,8.0,14.0,15.0,23.0,14.0,35.0,54.0,35.0,24.0
1.0,8.0,7.0,2.0,9.0,7.0,6.0,10.0,7.0,10.0,9.0,7.0,6.0,7.0,8.0,5.0,6.0,21.0,12.0,16.0,9.0,13.0,14.0,20.0,15.0,24.0,17.0,16.0,41.0,46.0,39.0,27.0
6.0,12.0,2.0,4.0,6.0,6.0,6.0,6.0,7.0,9.0,5.0,4.0,6.0,5.0,10.0,11.0,5.0,12.0,10.0,10.0,9.0,15.0,11.0,16.0,18.0,26.0,17.0,21.0,40.0,31.0,37.0,22.0
4.0,4.0,3.0,12.0,2.0,5.0,5.0,4.0,13.0,5.0,2.0,6.0,10.0,15.0,5.0,6.0,5.0,8.0,5.0,10.0,17.0,19.0,13.0,20.0,16.0,27.0,22.0,17.0,37.0,41.0,32.0,25.0
6.0,7.0,3.0,4.0,7.0,3.0,2.0,5.0,6.0,6.0,12.0,4.0,6.0,11.0,8.0,7.0,14.0,10.0,9.0,16.0,10.0,14.0,14.0,10.0,19.0,24.0,16.0,15.0,38.0,47.0,35.0,26.0
2.0,9.0,2.0,5.0,1.0,5.0,4.0,6.0,6.0,8.0,4.0,2.0,9.0,9.0,10.0,4.0,6.0,16.0,12.0,12.0,11.0,13.0,9.0,14.0,11.0,24.0,22.0,20.0,40.0,53.0,42.0,21.0
4.0,5.0,10.0,10.0,5.0,4.0,2.0,4.0,16.0,6.0,9.0,5.0,7.0,10.0,7.0,5.0,6.0,14.0,8.0,16.0,18.0,10.0,15.0,16.0,17.0,27.0,17.0,14.0,43.0,55.0,38.0,26.0
10.0,2.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,6.0,8.0,5.0,12.0,12.0,3.0,7.0,11.0,9.0,13.0,12.0,19.0,10.0,14.0,6.0,20.0,24.0,21.0,14.0,28.0,58.0,48.0,30.0
5.0,4.0,10.0,2.0,5.0,6.0,8.0,2.0,11.0,4.0,9.0,12.0,5.0,11.0,9.0,14.0,5.0,8.0,14.0,9.0,14.0,11.0,28.0,7.0,18.0,20.0,14.0,23.0,41.0,55.0,68.0,34.0
4.0,2.0,3.0,2.0,2.0,7.0,6.0,5.0,13.0,8.0,4.0,15.0,9.0,5.0,10.0,6.0,7.0,4.0,11.0,7.0,12.0,13.0,8.0,7.0,12.0,20.0,24.0,25.0,40.0,43.0,44.0,38.0
